X,Y,LATITUDE,LONGITUDE,fid,barriere,druecker,elem_nr,gis_id,hmas,mas,MODEL,SCALE_X,SCALE_Y,SCALE_Z,HubDist,BEARING
393072.797995850,5820461.309999445,52.52375253,13.42393161,s_Mast_LSA.11417,,2,47550024_48550008.01,PK_16072014_05836,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,4.252167206067301,-61.7513
393445.394395950,5820370.595599450,52.52301029,13.42945039,s_Mast_LSA.1428,1,2,48550009_48550035.02,Pk_01.10.2015_1428,550.0,2,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,8.678315778331058,269.7959
393452.775695952,5820412.036599449,52.52338416,13.42954585,s_Mast_LSA.1507,1,2,48550009_48550035.02,Pk_13.04.2015_1507,635.0,2,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,10.155265291549012,6.7585
391636.645995445,5820237.100999427,52.52145393,13.40284523,s_Mast_LSA.11449,,2,46550007_46550008.01,PK_04082014_00440,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,2.385373481791591,158.036
391656.649995452,5820224.233999426,52.52134228,13.40314413,s_Mast_LSA.11426,,2,46550008_46550017.01,PK_04082014_08406,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,5.741560689542021,-37.3299
391631.205995444,5820219.361999427,52.52129344,13.40277087,s_Mast_LSA.11448,,2,46550007_46550008.01,PK_04082014_00441,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,4.685447475945240,242.9685
391663.992995453,5820248.333999429,52.52156032,13.40324446,s_Mast_LSA.11454,,2,46550008_46550009.01,PK_04082014_00524,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,6.844036493162401,62.1368
392071.151995571,5820297.379999435,52.52208187,13.40922710,s_Mast_LSA.11443,,1,46550057_47550029.01,PK_04082014_04675,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,7.419270536230454,230.2993
392063.230995568,5820329.548999432,52.52236940,13.40909996,s_Mast_LSA.11428,,2,46550057_47550029.01,PK_04082014_04680,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,7.039832263725469,50.5438
392108.812995582,5820366.787999433,52.52271308,13.40975943,s_Mast_LSA.11456,,2,47550027_47550010.01,PK_04082014_04923,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,7.399563715364124,48.7043
392126.749995587,5820341.229999435,52.52248695,13.41003199,s_Mast_LSA.11260,,2,47550027_47550010.01,PK_26022015_08397,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,6.113305149887780,233.7163
392147.206995593,5820351.860999434,52.52258653,13.41032994,s_Mast_LSA.11262,,2,47550027_47550059.01,PK_16072014_03247,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,9.990440870846973,147.8676
392487.759995688,5820350.780999437,52.52264413,13.41534769,s_Mast_LSA.11374,,1,47550011_47550001.02,PK_16072014_02306,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,4.806775095103028,-51.944
392565.133995710,5820249.168999436,52.52174623,13.41652050,s_Mast_LSA.11347,,2,47550012_47550001.01,PK_16072014_02228,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,7.997700368285903,214.6331
392548.976995706,5820260.115999439,52.52184142,13.41627892,s_Mast_LSA.11348,,2,47550012_47550001.01,PK_16072014_02227,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,11.519131885937535,33.7623
392533.339995702,5820281.523999439,52.52203072,13.41604162,s_Mast_LSA.11377,,2,47550011_47550001.02,PK_16072014_02303,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,9.601501594190397,-51.1988
392542.603995705,5820294.584999439,52.52214993,13.41617389,s_Mast_LSA.11387,,2,47550011_47550001.02,PK_16072014_02297,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,6.395750057964006,128.3505
