X,Y,LATITUDE,LONGITUDE,PARALLEL,DESCRIPTIO,CATEGORY,COLOR,HubDist,BEARING,SECTOR,MODEL_PATH,MODEL_NAME,SCALE_X,SCALE_Y,SCALE_Z,TRAILER
390237.7188,5819291.5,52.51267624,13.38254764,NO,Silver Mid-size Car,Mid-size,Silver,5.057191059,72.7921,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_silver.prefab,1.15,1,1,No
390241.6563,5819279,52.5125647,13.38260976,NO,Silver Sporty Hatchback,Compact,Silver,5.303952394,72.7945,Civilian,Assets/Azerilo/Car Model No.1201 Asset/Prefab/,Sporty_Hatchback_silver.prefab,1,1,1,No
390243.5938,5819271.5,52.51249769,13.38264077,NO,90s Mid-size Sedan 1,Mid-size,White,5.044009726,74.1376,Civilian,Assets/Urban American Assets/Props/Vehicles/,Car1.prefab,0.85,0.85,0.9,No
390189.25,5819226.5,52.51208235,13.38185518,NO,Black Mid-size Car,Mid-size,Black,5.531009903,-15.661,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_black.prefab,1.15,1,1,No
390195.4375,5819227.5,52.51209259,13.38194598,NO,Dark Blue Mid-size Car,Mid-size,Dark Blue,4.754009587,-17.7422,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_dark_blue.prefab,1.15,1,1,No
390200.7188,5819229,52.51210713,13.38202328,NO,Silver Subcompact Car,Subcompact,Silver,4.710220569,-17.7121,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_silver.prefab,0.9,0.9,0.9,No
390203.4375,5819229.5,52.51211217,13.38206316,NO,White Full-size Sedan,Full-size Car,White,4.426408792,162.2828,Civilian,Assets/Vehicle - pro 3d models/Civilian_vehicle_05/Prefab/,CivilianVehicle05 White.prefab,1.15,1,1,No
390209.3438,5819231.5,52.51213133,13.38214949,NO,Light Mid-size Car,Mid-size,Light Blue,4.685764492,-15.9979,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus.prefab,1.15,1,1,No
390212.0625,5819232,52.51213638,13.38218937,NO,Dark Blue Sporty Hatchback,Compact,Dark Blue,4.402075497,-15.8924,Civilian,Assets/Azerilo/Car Model No.1201 Asset/Prefab/,Sporty_Hatchback_dark_blue.prefab,1,1,1,No
390214.5625,5819233,52.51214587,13.38222587,NO,Red 70's Jeep,Compact SUV,Red,4.659635266,-16.6899,Civilian,Assets/Stylized Vehicles Pack Free/Prefabs/,Jeep2_red.prefab,0.7,0.7,0.7,No
390222.7813,5819236,52.51217448,13.38234593,NO,Red Sports Car,Sports Car,Red,5.232247083,-17.8388,Civilian,Assets/Best Sports CARS - Pro 3D Models/Vehicle/SportCar20/Prefabs/,SportCar20_Static_EU_red.prefab,1,1,1,No
390236.0313,5819240,52.51221309,13.38253978,NO,Light Mid-size Car,Mid-size,Light Blue,5.347896414,-16.4759,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus.prefab,1.15,1,1,No
390213.125,5818930,52.50942264,13.3823047,NO,Black Sporty Hatchback Microcar,Microcar,Black,5.963689199,-93.0226,Civilian,Assets/Azerilo/Car Model No.1201 Asset/Prefab/,Sporty_Hatchback_black.prefab,0.7,0.8,0.75,No
390319.9375,5819027,52.51031584,13.38384591,NO,Dark Blue Subcompact Car,Subcompact,Dark Blue,2.318142854,173.8671,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_dark_blue.prefab,0.9,0.9,0.9,No
390316.9688,5819037,52.51040511,13.38379888,NO,White Mid-size Car,Mid-size,White,8.162063172,-19.4742,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_white.prefab,1.15,1,1,No
390313.4063,5819049,52.51051223,13.38374246,NO,White Subcompact Car,Subcompact,White,13.46639127,72.5798,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_white.prefab,0.9,0.9,0.9,No
390247.0625,5820209,52.52092331,13.38238242,NO,White Subcompact Car,Subcompact,White,3.074741462,-72.47229,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_white.prefab,0.9,0.9,0.9,No
390249.4375,5820217,52.52099568,13.38241476,NO,Light Silver Full-size Sedan,Full-size Car,Silver,3.069764367,-73.7305,Civilian,Assets/Vehicle - pro 3d models/Civilian_vehicle_05/Prefab/,CivilianVehicle05.prefab,1.15,1,1,No
390265.8125,5820545,52.52394658,13.38254772,NO,Black Mid-size Car,Mid-size,Black,5.006937878,166.634,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_black.prefab,1.15,1,1,No
390263.3438,5820544.5,52.52394159,13.38251151,NO,Black Sports Car,Sports Car,Black,4.916927744,347.5554,Civilian,Assets/Best Sports CARS - Pro 3D Models/Vehicle/SportCar20/Prefabs/,SportCar20_Static_EU_black.prefab,1,1,1,No
390260.9688,5820544.5,52.52394111,13.38247652,NO,Light Mid-size Car,Mid-size,Light Blue,4.361132884,165.9948,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus.prefab,1.15,1,1,No
390254.1875,5820542.5,52.52392177,13.38237727,NO,Black Sporty Hatchback,Compact,Black,4.720661897,166.6447,Civilian,Assets/Azerilo/Car Model No.1201 Asset/Prefab/,Sporty_Hatchback_black.prefab,1,1,1,No
390251.3125,5820542,52.5239167,13.38233508,NO,Silver Subcompact Car,Subcompact,Silver,4.537758867,164.9368,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_silver.prefab,0.9,0.9,0.9,No
390223.6563,5820535.5,52.52385271,13.38192976,NO,White Subcompact Car,Subcompact,White,4.398485307,165.7094,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_white.prefab,0.9,0.9,0.9,No
390216.5313,5820534,52.5238378,13.38182528,NO,Silver 80's Hatchback,Compact,Silver,4.191860642,165.1661,Civilian,Assets/Hatchback and Sedan/prefabs/,HATCHBACK_1988.prefab,0.61,0.61,0.61,No
390211.125,5820533.5,52.52383222,13.38174579,NO,Black Subcompact Car,Subcompact,Black,3.361144581,348.116,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_black.prefab,0.9,0.9,0.9,No
390305.1875,5821192.5,52.52977331,13.3829141,NO,Green Compact Car,Compact,Green,60.82632763,-28.70544,Civilian,Assets/Car folder/,green_sedan.prefab,0.6,0.6,0.6,No
390308.09893179,5821192.75723155,52.52979165,13.38294015,NO,Black Commercial Van,Light Commercial Vehicle,Black,58.18585068,-28.57959,Commercial,Assets/Urban American Assets/Props/Vehicles/,Van_black.prefab,1,1,1,No
390332.1875,5820802,52.52626949,13.38344084,NO,Green Full-size Luxury Sedan,Full-size Luxury,Green,11.52308259,-10.9264,Civilian,Assets/Hatchback and Sedan/prefabs/,SEDAN_green.prefab,0.85,0.75,0.75,No
390335.8438,5820802,52.52627023,13.38349471,NO,Silver 90's SUV,Full-size,Silver,10.81935888,-11.2845,Civilian,Assets/Urban American Assets/Props/Vehicles/,Suv_silver.prefab,1,1,1,No
390338.669000149,5820802.97720225,52.52627532,13.38353829,NO,Dark Blue Mid-size Car,Mid-size,Dark Blue,9.900812602,-10.4339,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_dark_blue.prefab,1.15,1,1,No
390369.8438,5820738,52.52570193,13.38401679,NO,White Full-size Sedan,Full-size Car,White,7.706932676,-51.8884,Civilian,Assets/Vehicle - pro 3d models/Civilian_vehicle_05/Prefab/,CivilianVehicle05 White.prefab,1.15,1,1,No
390372.9375,5820627,52.52470504,13.38409898,YES,Red Compact Car,Compact,Red,4.268025846,124.9607,Civilian,Assets/Car folder/,red_sedan.prefab,0.6,0.6,0.6,No
390380.2188,5820622,52.52466157,13.38420791,YES,White Subcompact Car,Subcompact,White,4.170285534,125.0539,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_white.prefab,0.9,0.9,0.9,No
390392.1563,5820619.5,52.52464151,13.38438462,YES,80's Mid-size Sedan 2,Mid-size,White,5.28662109,33.1088,Civilian,Assets/Urban American Assets/Props/Vehicles B/,Traffic B - Small_Car.prefab,0.85,0.85,0.85,No
390395.4375,5820625,52.52469159,13.38443115,YES,Red Subcompact Car,Subcompact,Red,4.95449676,33.12077,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_red.prefab,0.9,0.9,0.9,No
390371.0313,5820638,52.52480351,13.38406727,YES,Silver Sporty Hatchback,Compact,Silver,3.63433843,305.8965,Civilian,Assets/Azerilo/Car Model No.1201 Asset/Prefab/,Sporty_Hatchback_silver.prefab,1,1,1,No
390344.125,5820573,52.52421397,13.38369229,YES,Dark Silver Full-size Luxury Sedan,Full-size Luxury,Silver,7.306156577,158.9991,Civilian,Assets/Hatchback and Sedan/prefabs/,SEDAN_silver.prefab,0.85,0.75,0.75,No
390315.7813,5820562,52.52410941,13.38327832,YES,Silver Subcompact Car,Subcompact,Silver,4.54992883,342.768,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_silver.prefab,0.9,0.9,0.9,No
390299.25,5820553.5,52.5240297,13.38303756,NO,Black Mid-size Car,Mid-size,Black,4.557670333,165.9494,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_black.prefab,1.15,1,1,No
390279.7188,5820548.5,52.52398083,13.38275145,NO,Black Subcompact Car,Subcompact,Black,4.854076564,346.4791,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_black.prefab,0.9,0.9,0.9,No
390375.713067532,5821384.29751475,52.53153522,13.38387679,NO,Silver Subcompact Car,Subcompact,Silver,36.19737498,152.5552,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_silver.prefab,0.9,0.9,0.9,No
390373.653008938,5821388.51748545,52.53155293,13.38385679,NO,Red Compact Car,Compact,Red,33.81841421,151.2885,Civilian,Assets/Car folder/,red_sedan.prefab,0.6,0.6,0.6,No
390370.923028469,5821393.11733897,52.53157063,13.38383587,NO,White 90's SUV,Full-size,White,31.41081419,152.9869,Civilian,Assets/Urban American Assets/Props/Vehicles/,Suv_white.prefab,1,1,1,No
390384.9063,5821401.5,52.53166755,13.38401983,NO,Black Subcompact Car,Subcompact,Black,27.72135839,333.7263,Civilian,Assets/Car_Low/Tocus/Prafab/,Tocus_black.prefab,0.9,0.9,0.9,No
