X,Y,LATITUDE,LONGITUDE,fid,LIGHTSTYLE,ShortNumbe,OPERATOR,STATUS,DISTRICT,LOCATION,ROAD,EAST,NORTH,LUMINOUS,MODEL,SCALE_X,SCALE_Y,SCALE_Z,HubDist,BEARING
392025.7687,5818769.229,52.50833985,13.40905467,s_oeffbeleucht.94987,16252-2110009-00,9,Electricity,In operation,Mitte (REG A),Mitte,SebastianstraÃŸe,392025.7687,5818769.229,Light pole with top light,/Assets/Models/Berlin/Street_Light_Models/Object26.prefab,1.8,1.8,1.8,4.430069312,240.7049
390734.8437,5819060.993,52.51070464,13.38994582,s_oeffbeleucht.93593,16228-2110096-00,96,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390734.8438,5819060.993,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,3.139137183,357.307
390719.8185,5819058.708,52.51068109,13.38972527,s_oeffbeleucht.93594,16228-2110097-00,97,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390719.8185,5819058.708,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,4.287521926,357.307
390732.7567,5819083.481,52.51090631,13.3899077,s_oeffbeleucht.93595,16228-2110098-00,98,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390732.7567,5819083.481,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,2.726882004,357.307
390718.0504,5819081.722,52.51088755,13.38969167,s_oeffbeleucht.93596,16228-2110099-00,99,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390718.0504,5819081.722,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,4.229190742,357.307
390730.83,5819107.983,52.51112611,13.38987127,s_oeffbeleucht.93597,16228-2110100-00,100,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390730.83,5819107.983,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,2.61838174,357.307
390716.2023,5819106.312,52.51110816,13.38965637,s_oeffbeleucht.93598,16228-2110101-00,101,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390716.2024,5819106.312,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,4.138763351,357.307
390745.6928,5818933.201,52.50955839,13.39014759,s_oeffbeleucht.93600,16228-2110111-00,111,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390745.6928,5818933.201,Light pole with top light,/Assets/Models/Berlin/Street_Light_Models/Object26.prefab,1.8,1.8,1.8,7.720280502,266.1526
390741.7301,5818970.18,52.50988991,13.39007708,s_oeffbeleucht.93602,16228-2110113-00,113,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390741.7301,5818970.18,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,2.797098732,357.307
390730.0172,5818932.656,52.50955035,13.38991689,s_oeffbeleucht.93603,16228-2110114-00,114,Electricity,In operation,Mitte (REG A),Mitte,FriedrichstraÃŸe,390730.0172,5818932.656,Light pole with double bracket,/Assets/Models/Berlin/Street_Light_Models/Object17.prefab,2.4,3.2,2.6,7.948717812,357.391
