X,Y,LATITUDE,LONGITUDE,name,altitude,BEARING,href,CityObjType,ELEVATION,LocalityName,ThoroughfareName,ThoroughfareNumber,function,measuredHeight,roofType
391382.9956,5820565.729,52.5243567,13.3990009,DEB_LOD2_UUID_1184e23d-51a3-4c10-8e66-afdd1ffc6578,33.751,358.7342513,27373/DEB_LOD2_UUID_1184e23d-51a3-4c10-8e66-afdd1ffc6578.dae,Building,33.751,Berlin,Anna-Louisa-Karsch-Str.,2,1499,5.967,1000
391909.2401,5820959.563,52.5280006,13.4066263,DEB_LOD2_UUID_124fb626-9be0-4359-938f-fd4a4b31f248,36.55,358.7359393,27360/DEB_LOD2_UUID_124fb626-9be0-4359-938f-fd4a4b31f248.dae,Building,36.55,Berlin,Anna-Louisa-Karsch-Str.,2,1499,20.628,1000
391754.1064,5820930.175,52.5277057,13.40435,DEB_LOD2_UUID_1cc32e22-ca4c-467b-ac76-19084b0b4875,35.08,358.7321683,27380/DEB_LOD2_UUID_1cc32e22-ca4c-467b-ac76-19084b0b4875.dae,Building,35.08,Berlin,Anna-Louisa-Karsch-Str.,2,1499,18.729,2100
391273.5364,5820980.404,52.5280614,13.3972525,DEB_LOD2_UUID_f6b47f6b-32cd-4d29-b9aa-49c1a6361b5b,35.92,358.723549,27440/DEB_LOD2_UUID_f6b47f6b-32cd-4d29-b9aa-49c1a6361b5b.dae,Building,35.92,Berlin,Anna-Louisa-Karsch-Str.,2,1499,19.633,1000
391778.1818,5820477.372,52.5236413,13.4048522,DEB_LOD2_UUID_47cbc68b-07de-4e3e-91f9-6894f49ecd27,35.76,358.7337803,27402/DEB_LOD2_UUID_47cbc68b-07de-4e3e-91f9-6894f49ecd27.dae,Building,35.76,Berlin,Anna-Louisa-Karsch-Str.,2,1499,23.76,1000
391026.6533,5820669.745,52.5252203,13.3937166,DEB_LOD2_UUID_f79b0774-1b00-4822-843f-6e2dbcac20a3,34.11,358.7206787,27455/DEB_LOD2_UUID_f79b0774-1b00-4822-843f-6e2dbcac20a3.dae,Building,34.11,Berlin,Anna-Louisa-Karsch-Str.,2,1499,27.944,1000
391149.765,5820634.97,52.5249324,13.3955419,DEB_LOD2_UUID_44c1d4aa-2644-4d1a-9d72-62d431adf577,34.638,358.732582,27500/DEB_LOD2_UUID_44c1d4aa-2644-4d1a-9d72-62d431adf577.dae,Building,34.638,Berlin,Anna-Louisa-Karsch-Str.,2,1499,21.952,2100
391773.1301,5820669.824,52.5253698,13.4047151,DEB_LOD2_UUID_a33de027-0378-41eb-8fdd-098f5eb5434b,33.627,358.7286326,27539/DEB_LOD2_UUID_a33de027-0378-41eb-8fdd-098f5eb5434b.dae,Building,33.627,Berlin,Anna-Louisa-Karsch-Str.,2,1499,27.043,1000
391255.7773,5820847.856,52.5268667,13.3970342,DEB_LOD2_UUID_7e2b0587-c86f-40d1-8b86-908e44c41494,35.861,358.7346148,27586/DEB_LOD2_UUID_7e2b0587-c86f-40d1-8b86-908e44c41494.dae,Building,35.861,Berlin,Anna-Louisa-Karsch-Str.,2,1499,2.469,1000
391124.9375,5820905.089,52.5273549,13.3950876,DEB_LOD2_UUID_f922a1ae-9d12-4618-b81f-a92aa07474b2,34.977,358.7336123,27593/DEB_LOD2_UUID_f922a1ae-9d12-4618-b81f-a92aa07474b2.dae,Building,34.977,Berlin,Anna-Louisa-Karsch-Str.,2,1499,4.866,1000
