LABEL,landuse,access,leisure,name,wheelchair,historic,religion,Surf_Type,area_highw,kerb,landcover,postal_cod,leaf_cycle,leaf_type,natural,changeset,addr_city,addr_postc,addr_count,addr_subur,amenity,opening_ho,lit,fee,parking,park_ride,supervised,surface,capacity,capacity_d,capacity_p,capacity_w,parking_co,parking_c1,parking_c2,parking_c3,note,highway,area,bicycle,ID,PERIMETER,ENCLOSED_A,GEOMETRY
,,,park,,,,,Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,"POLYGON(( 392738.499523351 5820895.477531794, 392722.477856378 5820905.234911220, 392747.249365783 5820944.688628922, 392747.529198881 5820945.048223084, 392755.679855955 5820947.367171732, 392838.460254983 5820900.141973338, 392849.470565213 5820916.624986510, 392849.470565213 5820913.401271707, 392848.223923937 5820914.234737472, 392839.904395025 5820901.791002850, 392833.285447262 5820884.504802122, 392827.644178470 5820879.895999788, 392776.318775900 5820910.567547076, 392751.653996385 5820912.146737554, 392751.558182499 5820910.650190912, 392753.406238231 5820909.367791586, 392753.192030293 5820909.042899076, 392775.403070150 5820907.620812348, 392827.912065905 5820876.241962087, 392835.492006677 5820882.434621557, 392834.543242269 5820883.595934273, 392835.943680527 5820883.059699336, 392842.584881177 5820900.404015582, 392849.470565214 5820910.703110931, 392849.470565215 5820896.905188907, 392845.926892379 5820891.521451710, 392847.069568097 5820890.706360714, 392846.480564606 5820890.151761243, 392849.470565216 5820888.039229662, 392849.470565219 5820848.055387820, 392840.394078514 5820854.682201870, 392841.712667818 5820860.224994050, 392841.614164896 5820869.947005363, 392840.114636316 5820869.931812829, 392838.615099305 5820869.916619173, 392838.698266049 5820861.708251988, 392779.448986954 5820903.482368170, 392773.020556774 5820893.808723787, 392771.461520172 5820893.275377454, 392769.849509579 5820893.421971721, 392750.777744289 5820905.381125702, 392753.406229749 5820909.367790469, 392751.558174017 5820910.650189796, 392749.710109802 5820911.932588013, 392746.966231883 5820907.771175245, 392746.404752918 5820908.123256624, 392738.499523351 5820895.477531794 ))"
,,yes,playground,,,,,Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,"POLYGON(( 392249.926346821 5820931.264986842, 392249.868028269 5820931.298252427, 392266.623951972 5820955.033415901, 392276.728560515 5820949.545693842, 392276.617346476 5820949.436630663, 392266.597831263 5820954.879068594, 392249.926346821 5820931.264986842 ))"
,,yes,playground,,,,,Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,"POLYGON(( 392255.269961687 5820931.390258751, 392254.519833977 5820930.091737905, 392257.932059839 5820928.120578705, 392261.655964887 5820926.029318270, 392261.032246276 5820924.930052293, 392250.014987351 5820931.214425249, 392266.628716918 5820954.746700807, 392276.541491468 5820949.362242674, 392275.349069868 5820948.192882312, 392274.094687431 5820945.617809162, 392272.403770397 5820942.988231522, 392263.302241620 5820928.544605671, 392259.416523539 5820930.726736654, 392256.020080639 5820932.688778450, 392255.269961687 5820931.390258751 ))"
,,,garden,,,,,Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,"POLYGON(( 392249.926346821 5820931.264986842, 392249.783676281 5820931.062903232, 392260.910278643 5820924.715091786, 392258.314155979 5820920.139584081, 392242.980916798 5820927.966223377, 392266.896227490 5820962.471784590, 392279.892919053 5820956.173026649, 392276.945798932 5820949.758730897, 392276.728560514 5820949.545693840, 392266.623951972 5820955.033415901, 392249.868028269 5820931.298252427, 392249.926346821 5820931.264986842 ))"
,,,garden,,,,,Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,"POLYGON(( 392249.931167400 5820931.095699701, 392250.014987351 5820931.214425249, 392261.032246276 5820924.930052293, 392260.960404669 5820924.803435849, 392249.931167400 5820931.095699701 ))"
,,,,,,,,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,"POLYGON(( 392837.624561018 5820351.550434100, 392840.766933356 5820351.550434100, 392840.126982481 5820350.241083210, 392837.624561018 5820351.550434100 ))"
,,,,,,,,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,"POLYGON(( 392845.266994539 5820351.550434100, 392849.470615789 5820351.550434100, 392849.470615789 5820345.352180831, 392844.318522850 5820348.047928650, 392845.803030767 5820351.271874930, 392845.266994539 5820351.550434100 ))"
,,,,,,,,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,"POLYGON(( 392519.802544367 5821007.351077930, 392519.802544367 5821008.232199438, 392520.240293396 5821008.232199438, 392519.802544367 5821007.351077930 ))"
,,,,,,,,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,"POLYGON(( 392799.924187272 5820625.510823103, 392799.003420933 5820626.369940372, 392801.577712864 5820629.739460886, 392802.659940251 5820629.008046558, 392799.924187272 5820625.510823103 ))"
,,,,,,,,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,"POLYGON(( 392565.695698353 5820515.849938335, 392561.980011829 5820518.644346344, 392565.695698353 5820523.328971894, 392572.279395774 5820531.629499120, 392573.415777453 5820531.629499120, 392573.415777453 5820510.043995628, 392570.186721762 5820512.472429467, 392570.186723056 5820512.472431830, 392565.695698353 5820515.849938335 ))"
,,,,,,,,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,"POLYGON(( 392519.802544367 5820830.192517396, 392519.802544367 5820831.695188876, 392521.681237494 5820834.251576096, 392522.253267746 5820833.812540467, 392519.802544367 5820830.192517396 ))"
,,,,,,,,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,"POLYGON(( 392519.802544367 5820834.565169372, 392519.802544367 5820835.694227461, 392520.332903014 5820835.286842346, 392519.802544367 5820834.565169372 ))"
,,,,,,,,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,"POLYGON(( 392519.802544367 5820825.845894015, 392518.912320963 5820825.845894015, 392519.802544367 5820827.160864662, 392519.802544367 5820825.845894015 ))"
,,,,,,,,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,"POLYGON(( 392546.735347072 5820496.414830420, 392544.606870505 5820496.414830420, 392545.407060134 5820497.443559680, 392546.735347072 5820496.414830420 ))"
,,,,,,,,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,"POLYGON(( 392543.894458156 5820559.789960560, 392549.055186986 5820567.369947620, 392552.452925104 5820572.360411000, 392563.535645685 5820588.638615440, 392565.695698353 5820587.189745693, 392587.496938549 5820572.566418300, 392585.813492174 5820570.436766820, 392570.951193976 5820551.640971360, 392570.613238519 5820551.905557750, 392570.093599078 5820551.271371460, 392568.617716355 5820549.470152257, 392570.739429261 5820552.074055120, 392565.506410368 5820555.638125850, 392561.397034141 5820550.594834320, 392566.622914442 5820547.035625593, 392566.622903509 5820547.035612250, 392565.695698353 5820545.903860688, 392565.384217838 5820545.523665910, 392543.894458156 5820559.789960560 ), ( 392579.156578053 5820574.954341280, 392564.466047036 5820556.375773830, 392571.122971016 5820551.858213410, 392585.813501584 5820570.436780730, 392579.156578053 5820574.954341280 ))"
,,,,,,,,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,"POLYGON(( 392586.304326358 5820548.615347140, 392588.405656539 5820551.271371460, 392598.430883317 5820563.942986030, 392610.974481090 5820553.779051630, 392609.034354783 5820551.271371460, 392599.230659293 5820538.599756890, 392586.304326358 5820548.615347140 ))"
,,,,,,,,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,"POLYGON(( 392368.878555867 5821004.015156180, 392362.157539061 5821008.232199438, 392400.966630351 5821008.232199438, 392413.972246471 5821001.828808110, 392413.682867040 5821001.350412410, 392406.143264240 5821004.989766010, 392380.816153464 5820963.081632663, 392370.174203981 5820968.339240607, 392378.055977109 5820981.591156320, 392384.957095351 5820993.194260080, 392379.142536651 5820996.925268730, 392371.080725366 5821002.098264630, 392371.080823212 5821002.098416220, 392371.326994166 5821002.478830480, 392370.824131797 5821002.792937910, 392368.878555867 5821004.015156180 ))"
,,,,,,,,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,"POLYGON(( 392344.061647599 5820980.313374670, 392344.894814396 5820981.802520660, 392347.845874415 5820981.815947340, 392351.039208180 5820986.632091230, 392351.902962077 5820986.569275280, 392353.100342830 5820988.588554580, 392352.884240880 5820989.531916620, 392356.991109938 5820996.115805200, 392355.814284255 5820997.478412780, 392356.643154560 5820998.637468770, 392358.460329608 5820997.547076380, 392358.146790267 5820996.889646740, 392360.364546687 5820995.361983680, 392360.023140442 5820994.603163980, 392362.130085208 5820993.137417130, 392364.016877496 5820991.824773170, 392364.315952164 5820991.617684200, 392364.029820055 5820990.591273700, 392372.241418205 5820985.322164880, 392363.545459323 5820970.701328940, 392354.828595662 5820974.918030200, 392354.693910402 5820975.176203720, 392353.406987893 5820975.748127960, 392351.518782353 5820976.625656080, 392348.406609398 5820978.072078810, 392348.589243849 5820978.425018420, 392347.764308946 5820979.477611850, 392346.475380435 5820980.104500570, 392345.608713078 5820980.014188080, 392345.349114583 5820979.609616350, 392344.061647599 5820980.313374670 ))"
,,,,,,,,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,"POLYGON(( 392246.170178939 5820566.507925571, 392246.445459268 5820566.844771160, 392249.245404941 5820564.593203620, 392253.314709139 5820561.319646660, 392253.314638160 5820561.319541650, 392257.924796313 5820557.611536190, 392257.692975981 5820557.359065402, 392246.170178939 5820566.507925571 ))"
,,,,,,,,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,"POLYGON(( 392258.117346903 5820546.067390430, 392254.442580190 5820549.116742231, 392258.638859153 5820553.890993160, 392258.699511917 5820553.959925091, 392262.283363912 5820551.114421570, 392258.117346903 5820546.067390430 ))"
,,,,,,,,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,"POLYGON(( 392317.368879048 5820998.347200646, 392317.368879048 5821007.989533225, 392319.755475200 5821006.316390220, 392321.077318535 5821008.232199438, 392338.953576561 5821008.232199438, 392336.548981899 5821004.515183250, 392331.823361324 5821006.835491220, 392328.535523871 5821000.326679270, 392332.559249469 5820998.347864930, 392328.892610737 5820992.679983880, 392325.512568013 5820994.342243540, 392317.368879048 5820998.347200646 ))"
,,,,,,,,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,"POLYGON(( 392235.070615617 5820499.777887434, 392235.070615617 5820503.086152010, 392235.323676386 5820503.116040858, 392235.693133645 5820503.139468811, 392245.055224925 5820504.034660148, 392241.471368936 5820499.327177154, 392235.356037394 5820499.764774598, 392235.070615617 5820499.777887435, 392235.070615617 5820499.777887434 ))"
,,,,,,,,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,"POLYGON(( 392257.378647151 5820498.287287867, 392255.689980270 5820498.393515612, 392260.845061598 5820505.334733827, 392261.582975264 5820506.243276929, 392265.990404281 5820507.217020020, 392262.921867697 5820503.365669538, 392256.526062452 5820495.463677987, 392258.773951085 5820498.240935316, 392257.378647151 5820498.287287867 ))"
,,,,,,,,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,"POLYGON(( 392235.070615617 5820491.592517834, 392235.070615617 5820491.766809307, 392235.207461556 5820491.757016966, 392235.070615617 5820491.592517834 ))"
,,,,,,,,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,"POLYGON(( 392265.038256387 5820498.175521539, 392268.219038856 5820502.036620564, 392273.459092040 5820508.755912883, 392276.164942161 5820509.148565652, 392278.306582176 5820509.233739994, 392269.315301232 5820498.191724427, 392265.038256387 5820498.175521539 ))"
,,,,,,,,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,"POLYGON(( 392572.279395774 5820531.629499120, 392577.138353472 5820537.755526500, 392585.260839315 5820531.629499120, 392572.279395774 5820531.629499120 ))"
,,,,,,,,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,"POLYGON(( 392525.385454026 5820531.629499120, 392526.171440383 5820532.753404360, 392525.405766337 5820533.344093780, 392526.331118797 5820534.682572960, 392528.975721632 5820538.508878930, 392529.535043277 5820539.317869110, 392532.093368478 5820543.020093310, 392534.965156234 5820547.175299230, 392555.770055365 5820532.863446560, 392554.777270822 5820531.629499120, 392525.385454026 5820531.629499120 ))"
,,,,,,,,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,"POLYGON(( 392296.112500000 5820730.789062245, 392292.258881921 5820730.789062245, 392296.112500000 5820739.230049324, 392296.112500000 5820730.789062245 ))"
,,,,,,,,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,"POLYGON(( 392313.980252445 5820730.789062245, 392307.372429326 5820730.789062245, 392317.368879048 5820752.532986663, 392317.368879048 5820737.992679130, 392313.980252445 5820730.789062245 ))"
,,,,,,,,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,"POLYGON(( 392296.112500000 5820963.813912174, 392296.112500000 5820966.502558999, 392308.742929348 5820960.082735349, 392317.368879048 5820955.884258663, 392317.368879048 5820953.874516292, 392296.112500000 5820963.813912174 ))"
,,,,,,,,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,"POLYGON(( 392296.112500000 5820968.409063257, 392296.112500000 5820969.732351620, 392310.483745678 5820962.448525136, 392317.368879048 5820959.063421592, 392317.368879048 5820957.774444954, 392309.499928574 5820961.604470239, 392296.112500000 5820968.409063257 ))"
,,,,,,,,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,"POLYGON(( 392296.112500000 5820971.637741322, 392296.112500000 5820972.729871748, 392316.403932954 5820962.097159978, 392317.368879048 5820961.627302889, 392317.368879048 5820960.957288070, 392311.242878540 5820963.969160916, 392296.112500000 5820971.637741322 ))"
,,,,,,,,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,"POLYGON(( 392296.112500000 5820981.577194391, 392296.112500000 5820989.377650771, 392317.368879048 5820978.898869773, 392317.368879048 5820970.237051127, 392299.202669868 5820979.756145796, 392296.112500000 5820981.577194391 ))"
,,,,,,,,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,"POLYGON(( 392296.112500000 5821004.456651496, 392296.112500000 5821008.232199438, 392303.637529410 5821008.232199438, 392310.733335880 5821003.391337310, 392314.115021074 5821008.232199438, 392317.022736341 5821008.232199438, 392317.368879048 5821007.989533225, 392317.368879048 5820998.347200646, 392303.512518469 5821005.161573100, 392298.353773570 5821007.698574800, 392296.112500000 5821004.456651496 ))"
,,,,,,,,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,"POLYGON(( 392235.070615616 5820699.100906821, 392235.070615616 5820708.464506680, 392239.188556113 5820706.244958880, 392240.955397224 5820709.656533100, 392268.628144405 5820694.386293383, 392268.623800454 5820694.376936780, 392268.789360836 5820694.297331717, 392268.882485205 5820694.245944290, 392268.884995404 5820694.251348528, 392271.327035028 5820693.077162390, 392275.423922499 5820691.107289190, 392276.861286952 5820694.203284190, 392281.254343452 5820703.665658490, 392283.061628165 5820707.558438780, 392278.964740850 5820709.528312100, 392276.261506379 5820710.828086570, 392276.125782441 5820710.535745546, 392249.448376270 5820725.256742368, 392249.831116388 5820725.932326570, 392244.451687197 5820726.339419580, 392243.322275693 5820728.211717064, 392248.935074568 5820730.789062245, 392281.631301199 5820730.789062245, 392273.192125628 5820712.303844340, 392281.906983053 5820708.114203760, 392292.258881921 5820730.789062245, 392298.569774513 5820730.789062245, 392276.114689700 5820681.945555441, 392236.938209644 5820702.636960370, 392235.070615616 5820699.100906821 ))"
