X,Y,LATITUDE,LONGITUDE,fid,barriere,druecker,elem_nr,gis_id,hmas,mas,MODEL,SCALE_X,SCALE_Y,SCALE_Z,HubDist,BEARING
390542.303,5819017.197,52.51027243,13.38712431,s_Mast_LSA.10356,,2,45530010_45540059.01,PK_22012014_08371,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,9.163396804,173.3997
390558.661,5818996.366,52.51008852,13.3873721,s_Mast_LSA.10338,,2,45540059_45530011.01,PK_22012014_09297,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,7.524790731,62.2919
390579.19,5819000.675,52.51013136,13.38767305,s_Mast_LSA.10342,,2,45540059_45540025.01,PK_22012014_08416,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,10.02952633,354.3232
392857.034,5818898.349,52.50966421,13.42125628,s_Mast_LSA.10266,,1,47530009_48530001.01,PK_22012014_02535,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,9.00446316,23.4713
392863.539,5818917.642,52.50983887,13.42134588,s_Mast_LSA.10265,,1,47530009_47540072.01,PK_22012014_09800,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,8.074980073,293.3286
392845.315,5818922.627,52.50988009,13.42107585,s_Mast_LSA.10263,,1,47540007_47530009.01,PK_22012014_02612,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,8.03910878,206.5242
392838.673,5818903.562,52.50970745,13.42098416,s_Mast_LSA.10260,,1,47530020_47530009.01,PK_22012014_09701,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,8.481129464,114.6886
393448.0421,5818937.975,52.51013616,13.42994848,s_Mast_LSA.957,1,1,48540010_48530018.01,Pk_13.04.2015_957,320,1,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,8.182311708,110.1385
393457.3467,5818992.537,52.51062831,13.43006806,s_Mast_LSA.959,1,1,48540010_48530018.01,Pk_13.04.2015_959,320,1,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,7.376334636,211.9445
393454.1779,5818979.454,52.51051011,13.43002557,s_Mast_LSA.960,2,1,48540010_48530018.01,Pk_17.04.2015_960,320,1,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,5.238871451,35.6131
392585.213,5820011.114,52.51961085,13.41689324,s_Mast_LSA.11286,,2,47550013_47540018.01,PK_16072014_01811,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,7.968621243,239.7633
392574.172,5820003.976,52.51954453,13.41673289,s_Mast_LSA.11288,,2,47550013_47540018.01,PK_16072014_01810,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,5.200323682,53.0611
392562.163,5819996.441,52.51947444,13.41655841,s_Mast_LSA.11294,,2,47550013_47540018.01,PK_16072014_01806,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,8.079331819,56.5554
392091.429,5820311.077,52.52220898,13.40952139,s_Mast_LSA.11346,,2,47550029_47550030.02,PK_16072014_03296,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,4.406453532,59.2227
392082.926,5820303.692,52.52214093,13.40939852,s_Mast_LSA.11441,,2,46550057_47550029.01,PK_04082014_04677,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,1.943239224,131.3158
391618.269,5820493.814,52.52375727,13.40249078,s_Mast_LSA.11538,,1,46550062_46550031.01,PK_04082014_08242,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,5.949541059,314.5078
391615.756,5820495.566,52.52377252,13.40245318,s_Mast_LSA.11539,,1,46550062_46550031.01,PK_04082014_08241,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,2.893472227,306.5614
390485.926,5819486.007,52.51447412,13.38613958,s_Mast_LSA.10184,,2,45540053_45540057.01,PK_18102013_01947,0,,/Assets/Traffic Essentials Asset Pack/NEWPrefabs/Pedestrian Light_v2.prefab,1.1,1.1,1.1,5.882370417,85.3691
