LABEL,bridge,bridge_nam,cycleway_r,highway,lanes,lit,maxspeed,name,oneway,postal_cod,sidewalk,start_date,surface,parking_co,parking_la,note,descriptio,lanes_back,lanes_forw,ref,turn_lanes,cycleway_b,foot,name_pl,name_ru,name_uk,name_zh,electrifie,gauge,level,operator,railway,voltage,cycleway_1,cycleway_l,oneway_bic,smoothness,bicycle,source,cycleway,incline,name_be,name_es,name_he,name_ja,name_la,service,parking_c1,parking_c2,parking_l1,access_lan,destinatio,destinati1,destinati2,name_de,psv_lanes,turn_lane1,lanes_psv_,busway_rig,priority_r,source_max,parking_l2,maxspeed_c,motor_vehi,motorcycle,parking_l3,access_la1,bicycle_la,old_name,bicycle_ro,motor_veh1,traffic_si,vehicle,access,horse,note_de,cycleway_2,cycleway_3,old_name_9,old_name_2,old_name_n,overtaking,maxspeed_t,noname,cycleway_s,protected_,tunnel,destinati3,maxheight,motorroad,cutting,speisebezi,change_lan,parking_l4,parking_c3,bus_lanes_,bus_lanes1,lanes_bus,turn_lane2,lanes_psv,wheelchair,maxweight,segregated,building_p,height,website,destinati4,destinati5,destinati6,destinati7,destinati8,cycleway_4,parking_c4,parking_c5,parking_c6,parking_c7,parking_l5,width,hgv,regulatory,source_nam,change_la1,change_la2,source_ref,loc_name,name_en,name_hu,name_it,name_nl,name_tr,bridge_str,heritage,historic,image,step_count,created_by,old_name_8,old_name_6,old_name_3,indoor,covered,destinati9,bus_lanes,maxheight_,junction,crossing,motorcar,goods,parking_l6,descripti1,ramp,psv,location,parking_c8,parking_c9,parking_10,parking_11,footway,lanes_both,destinat10,destinat11,destinat12,destinat13,paving_sto,cycleway_5,bench,bin,passenger1,public_tra,shelter,tactile_pa,tram,emergency,cycleway_6,car,sidewalk_b,parking_l7,traffic_ca,destinat14,lanes_park,old_name_0,old_name_1,lanes_bus_,levelpart,cycleway_7,destinat15,parking_12,parking_13,parking_14,colonnade_,parking_l8,paving_st1,destinat16,destinat17,destinat18,destinat19,destinat20,destinat21,sidewalk_r,crossing_i,sac_scale,trail_visi,parking_l9,bus,ramp_wheel,oneway_del,destinat22,destinat23,destinat24,destinat25,destinat26,destinat27,parking_21,lanes_psv1,destinat28,destinat29,destinat30,destinat31,destinat32,old_name_4,sidewalk_1,sidewalk_2,sidewalk_3,sidewalk_4,sidewalk_l,sidewalk_5,embedded_r,sidewalk_s,sidewalk_w,parking_22,etymology_,Surf_Type,detail,frequency,passenger_,railway_ba,railway_b1,usage,railway_tr,railway_lz,railway_pz,railway_t1,tracks,electrifi1,loading_ga,disused,alt_name,subway,railway_zb,area,disused_ra,network,maxspeed_n,maxspeed_b,maxspeed_f,maxspeed_1,waterway,opening_ho,phone,seamark_ty,abandoned_,local_ref,wheelchai1,departures,boat,CEMT,canoe,draft,have_river,minpower,sailboat,lock,lock_name,maxlength,maxwidth,passage_ti,seamark_na,vhf,GEOMETRY
Alte SchÃ¶nhauser StraÃŸe,,,lane,tertiary,2,yes,30,Alte SchÃ¶nhauser StraÃŸe,yes,10119,both,,asphalt,,,,,,,,,,,,,,,,,,,,,,opposite_track,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(392099.462368089 5821034.406032839, 392094.019009116 5821024.833878637, 392092.801963057 5821022.267976183, 392079.495283892 5820994.942619204, 392075.806096520 5820987.368164372)"
Rosenthaler StraÃŸe,,,,tertiary,2,yes,30,Rosenthaler StraÃŸe,,10119,both,,asphalt,,,ErgÃ¤nzungsstraÃŸe mit besonderer Bedeutung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(391588.598374672 5821076.926615193, 391589.919246720 5821073.136231783, 391594.701926899 5821064.473193081, 391601.051721903 5821050.879310967, 391623.109579311 5821005.580081766, 391637.965091442 5820973.982673820)"
Rosenthaler StraÃŸe,,,no,tertiary,1,yes,30,Rosenthaler StraÃŸe,yes,10119,right,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(391554.404006608 5821145.985254482, 391557.170299022 5821135.452886785, 391576.343264523 5821094.145363412, 391576.866589713 5821092.954246205, 391579.600956700 5821088.331368239, 391582.356264080 5821084.653876007, 391588.598374672 5821076.926615193)"
Rosenthaler StraÃŸe,,,,tertiary,,,30,Rosenthaler StraÃŸe,yes,10178,,,asphalt,,,ErgÃ¤nzungsstraÃŸe mit besonderer Bedeutung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(391625.557126138 5820470.688451090, 391623.777945666 5820476.781244193, 391623.688689835 5820483.482038044, 391625.613199841 5820491.929808647, 391628.427494787 5820500.713971464, 391642.552508493 5820539.392519706)"
Hackescher Markt,,,,tertiary,,yes,30,Hackescher Markt,yes,10178,,,asphalt,,,ErgÃ¤nzungsstraÃŸe mit besonderer Bedeutung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(391584.687129798 5820483.711091466, 391571.760048070 5820481.382321823)"
Rosenthaler StraÃŸe,,,,tertiary,,,30,Rosenthaler StraÃŸe,yes,10178,,,asphalt,,,ErgÃ¤nzungsstraÃŸe mit besonderer Bedeutung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(391571.760048070 5820481.382321823, 391560.162527538 5820481.472217302)"
Breite StraÃŸe,,,,tertiary,2,yes,50,Breite StraÃŸe,,10178,both,,asphalt,,,Ãœbergeordnete StraÃŸe; Stufe III,,,,,,,,,,,,,,,,,,,,,,,,lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(391810.110254257 5819417.566011469, 391802.731457010 5819427.120655544, 391797.331074852 5819434.038886444, 391789.864363731 5819443.606621373)"
FranzÃ¶sische StraÃŸe,,,,tertiary,2,yes,50,FranzÃ¶sische StraÃŸe,,10117,both,,asphalt,,,Ãœbergeordnete StraÃŸe; Stufe III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(390954.946348486 5819533.772314384, 390973.470617609 5819535.207161424, 391063.356936702 5819542.732583561, 391109.886876723 5819546.727697874, 391122.764165737 5819547.609855289, 391137.307439588 5819548.922381073, 391207.595745925 5819554.371179421)"
An der Spandauer BrÃ¼cke,,,,tertiary,,yes,30,An der Spandauer BrÃ¼cke,,10178,both,,asphalt,,,ErgÃ¤nzungsstraÃŸe mit besonderer Bedeutung,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(391751.294623500 5820290.867327234, 391749.099313556 5820286.743006526, 391744.742481167 5820283.400888987)"
Rosenthaler StraÃŸe,,,,tertiary,,,30,Rosenthaler StraÃŸe,yes,10178,,,asphalt,,,ErgÃ¤nzungsstraÃŸe mit besonderer Bedeutung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(391642.552508493 5820539.392519706, 391638.223843846 5820533.023168789, 391626.233841304 5820515.373065800, 391617.714422155 5820503.043062888, 391615.042837324 5820499.174148924, 391609.740412870 5820492.971032849, 391604.559950113 5820487.065667794)"
