Type,Index,Time(ms)
Load time,0,1684
Step time,0,28
Step time,1,24
Step time,2,25
Step time,3,24
Step time,4,24
Step time,5,24
Step time,6,23
Step time,7,23
Step time,8,25
Step time,9,23
Step time,10,25
Step time,11,23
Step time,12,26
Step time,13,24
Step time,14,25
Step time,15,23
Step time,16,25
Step time,17,23
Step time,18,23
Step time,19,23
Step time,20,23
Step time,21,24
Step time,22,22
Step time,23,23
Step time,24,23
Step time,25,23
Step time,26,22
Step time,27,23
Step time,28,23
Step time,29,22
Step time,30,23
Step time,31,23
Step time,32,22
Step time,33,22
Step time,34,25
Step time,35,23
Step time,36,22
Step time,37,23
Step time,38,22
Step time,39,24
Step time,40,24
Step time,41,22
Step time,42,24
Step time,43,24
Step time,44,22
Step time,45,24
Step time,46,25
Step time,47,23
Step time,48,60
Step time,49,22
Load time,1,159
Step time,0,23
Step time,1,22
Step time,2,54
Step time,3,23
Step time,4,22
Step time,5,23
Step time,6,21
Step time,7,23
Step time,8,22
Step time,9,22
Step time,10,22
Step time,11,22
Step time,12,59
Step time,13,22
Step time,14,23
Step time,15,23
Step time,16,22
Step time,17,22
Step time,18,23
Step time,19,21
Step time,20,22
Step time,21,22
Step time,22,55
Step time,23,22
Step time,24,22
Step time,25,21
Step time,26,23
Step time,27,22
Step time,28,22
Step time,29,22
Step time,30,21
Step time,31,22
Step time,32,56
Step time,33,22
Step time,34,22
Step time,35,22
Step time,36,22
Step time,37,22
Step time,38,21
Step time,39,22
Step time,40,22
Step time,41,21
Step time,42,59
Step time,43,22
Step time,44,21
Step time,45,21
Step time,46,21
Step time,47,21
Step time,48,21
Step time,49,20
Load time,2,12371
Step time,0,19
Step time,1,18
Step time,2,17
Step time,3,17
Step time,4,17
Step time,5,17
Step time,6,18
Step time,7,20
Step time,8,20
Step time,9,17
Step time,10,20
Step time,11,18
Step time,12,23
Step time,13,20
Step time,14,17
Step time,15,18
Step time,16,18
Step time,17,20
Step time,18,19
Step time,19,19
Step time,20,19
Step time,21,18
Step time,22,17
Step time,23,18
Step time,24,17
Step time,25,18
Step time,26,19
Step time,27,19
Step time,28,18
Step time,29,18
Step time,30,18
Step time,31,17
Step time,32,19
Step time,33,20
Step time,34,19
Step time,35,49
Step time,36,19
Step time,37,17
Step time,38,21
Step time,39,17
Step time,40,21
Step time,41,20
Step time,42,18
Step time,43,17
Step time,44,18
Step time,45,21
Step time,46,17
Step time,47,19
Step time,48,17
Step time,49,19
Load time,3,6844
Step time,0,25
Step time,1,22
Step time,2,58
Step time,3,22
Step time,4,22
Step time,5,22
Step time,6,24
Step time,7,22
Step time,8,22
Step time,9,24
Step time,10,23
Step time,11,25
Step time,12,59
Step time,13,23
Step time,14,23
Step time,15,23
Step time,16,24
Step time,17,24
Step time,18,23
Step time,19,22
Step time,20,24
Step time,21,22
Step time,22,60
Step time,23,22
Step time,24,25
Step time,25,23
Step time,26,22
Step time,27,22
Step time,28,22
Step time,29,22
Step time,30,25
Step time,31,24
Step time,32,58
Step time,33,25
Step time,34,24
Step time,35,23
Step time,36,23
Step time,37,23
Step time,38,22
Step time,39,22
Step time,40,23
Step time,41,23
Step time,42,61
Step time,43,23
Step time,44,22
Step time,45,23
Step time,46,22
Step time,47,22
Step time,48,23
Step time,49,22
Load time,4,3266
Step time,0,22
Step time,1,27
Step time,2,23
Step time,3,23
Step time,4,26
Step time,5,24
Step time,6,24
Step time,7,23
Step time,8,23
Step time,9,23
Step time,10,25
Step time,11,23
Step time,12,24
Step time,13,25
Step time,14,22
Step time,15,23
Step time,16,26
Step time,17,22
Step time,18,24
Step time,19,25
Step time,20,25
Step time,21,23
Step time,22,23
Step time,23,23
Step time,24,22
Step time,25,22
Step time,26,26
Step time,27,25
Step time,28,22
Step time,29,22
Step time,30,23
Step time,31,23
Step time,32,23
Step time,33,24
Step time,34,22
Step time,35,22
Step time,36,23
Step time,37,22
Step time,38,22
Step time,39,24
Step time,40,24
Step time,41,22
Step time,42,23
Step time,43,22
Step time,44,24
Step time,45,22
Step time,46,23
Step time,47,25
Step time,48,23
Step time,49,23
Load time,5,156
Step time,0,23
Step time,1,23
Step time,2,58
Step time,3,23
Step time,4,26
Step time,5,22
Step time,6,23
Step time,7,24
Step time,8,23
Step time,9,23
Step time,10,23
Step time,11,23
Step time,12,61
Step time,13,23
Step time,14,24
Step time,15,23
Step time,16,24
Step time,17,23
Step time,18,22
Step time,19,23
Step time,20,25
Step time,21,26
Step time,22,58
Step time,23,25
Step time,24,22
Step time,25,23
Step time,26,23
Step time,27,25
Step time,28,23
Step time,29,24
Step time,30,22
Step time,31,23
Step time,32,58
Step time,33,26
Step time,34,23
Step time,35,23
Step time,36,22
Step time,37,23
Step time,38,26
Step time,39,22
Step time,40,22
Step time,41,23
Step time,42,58
Step time,43,23
Step time,44,23
Step time,45,22
Step time,46,22
Step time,47,23
Step time,48,23
Step time,49,31
Load time,6,3298
Step time,0,23
Step time,1,23
Step time,2,23
Step time,3,25
Step time,4,24
Step time,5,22
Step time,6,23
Step time,7,23
Step time,8,25
Step time,9,23
Step time,10,27
Step time,11,23
Step time,12,23
Step time,13,22
Step time,14,24
Step time,15,23
Step time,16,23
Step time,17,25
Step time,18,22
Step time,19,22
Step time,20,23
Step time,21,22
Step time,22,23
Step time,23,24
Step time,24,22
Step time,25,23
Step time,26,22
Step time,27,22
Step time,28,22
Step time,29,23
Step time,30,25
Step time,31,22
Step time,32,23
Step time,33,23
Step time,34,22
Step time,35,22
Step time,36,22
Step time,37,23
Step time,38,23
Step time,39,24
Step time,40,25
Step time,41,22
Step time,42,23
Step time,43,22
Step time,44,24
Step time,45,25
Step time,46,22
Step time,47,23
Step time,48,22
Step time,49,26
Load time,7,4917
Step time,0,22
Step time,1,22
Step time,2,24
Step time,3,22
Step time,4,22
Step time,5,24
Step time,6,21
Step time,7,23
Step time,8,25
Step time,9,22
Step time,10,23
Step time,11,23
Step time,12,22
Step time,13,23
Step time,14,23
Step time,15,21
Step time,16,26
Step time,17,22
Step time,18,21
Step time,19,22
Step time,20,25
Step time,21,21
Step time,22,21
Step time,23,21
Step time,24,21
Step time,25,23
Step time,26,21
Step time,27,22
Step time,28,21
Step time,29,23
Step time,30,22
Step time,31,23
Step time,32,21
Step time,33,21
Step time,34,24
Step time,35,22
Step time,36,21
Step time,37,23
Step time,38,22
Step time,39,21
Step time,40,23
Step time,41,23
Step time,42,22
Step time,43,21
Step time,44,21
Step time,45,21
Step time,46,21
Step time,47,21
Step time,48,22
Step time,49,23
Load time,8,143
Step time,0,20
Step time,1,22
Step time,2,56
Step time,3,21
Step time,4,20
Step time,5,21
Step time,6,20
Step time,7,21
Step time,8,19
Step time,9,19
Step time,10,21
Step time,11,20
Step time,12,52
Step time,13,21
Step time,14,22
Step time,15,21
Step time,16,20
Step time,17,20
Step time,18,19
Step time,19,21
Step time,20,21
Step time,21,20
Step time,22,54
Step time,23,20
Step time,24,20
Step time,25,20
Step time,26,22
Step time,27,20
Step time,28,20
Step time,29,20
Step time,30,20
Step time,31,19
Step time,32,53
Step time,33,20
Step time,34,19
Step time,35,20
Step time,36,19
Step time,37,20
Step time,38,20
Step time,39,20
Step time,40,20
Step time,41,20
Step time,42,53
Step time,43,20
Step time,44,20
Step time,45,20
Step time,46,20
Step time,47,20
Step time,48,19
Step time,49,21
Load time,9,6354
Step time,0,23
Step time,1,23
Step time,2,23
Step time,3,24
Step time,4,22
Step time,5,22
Step time,6,22
Step time,7,21
Step time,8,22
Step time,9,21
Step time,10,22
Step time,11,23
Step time,12,22
Step time,13,23
Step time,14,21
Step time,15,21
Step time,16,21
Step time,17,21
Step time,18,21
Step time,19,22
Step time,20,23
Step time,21,20
Step time,22,21
Step time,23,22
Step time,24,21
Step time,25,21
Step time,26,20
Step time,27,21
Step time,28,21
Step time,29,21
Step time,30,22
Step time,31,22
Step time,32,21
Step time,33,21
Step time,34,21
Step time,35,21
Step time,36,23
Step time,37,21
Step time,38,21
Step time,39,21
Step time,40,22
Step time,41,22
Step time,42,21
Step time,43,20
Step time,44,21
Step time,45,21
Step time,46,21
Step time,47,21
Step time,48,21
Step time,49,21
Load time,10,4178
Step time,0,22
Step time,1,26
Step time,2,26
Step time,3,24
Step time,4,24
Step time,5,24
Step time,6,25
Step time,7,26
Step time,8,25
Step time,9,24
Step time,10,25
Step time,11,25
Step time,12,24
Step time,13,26
Step time,14,25
Step time,15,23
Step time,16,25
Step time,17,24
Step time,18,24
Step time,19,26
Step time,20,26
Step time,21,23
Step time,22,23
Step time,23,23
Step time,24,25
Step time,25,25
Step time,26,23
Step time,27,25
Step time,28,24
Step time,29,24
Step time,30,25
Step time,31,24
Step time,32,23
Step time,33,29
Step time,34,23
Step time,35,24
Step time,36,24
Step time,37,25
Step time,38,22
Step time,39,26
Step time,40,24
Step time,41,24
Step time,42,24
Step time,43,24
Step time,44,23
Step time,45,23
Step time,46,25
Step time,47,23
Step time,48,25
Step time,49,26
Load time,11,9400
Step time,0,18
Step time,1,18
Step time,2,18
Step time,3,18
Step time,4,19
Step time,5,18
Step time,6,17
Step time,7,18
Step time,8,18
Step time,9,19
Step time,10,17
Step time,11,18
Step time,12,18
Step time,13,18
Step time,14,20
Step time,15,18
Step time,16,18
Step time,17,17
Step time,18,17
Step time,19,17
Step time,20,18
Step time,21,17
Step time,22,17
Step time,23,16
Step time,24,17
Step time,25,17
Step time,26,17
Step time,27,16
Step time,28,18
Step time,29,17
Step time,30,17
Step time,31,16
Step time,32,16
Step time,33,16
Step time,34,16
Step time,35,16
Step time,36,16
Step time,37,16
Step time,38,16
Step time,39,16
Step time,40,16
Step time,41,17
Step time,42,16
Step time,43,16
Step time,44,16
Step time,45,16
Step time,46,16
Step time,47,16
Step time,48,16
Step time,49,16
Load time,12,6366
Step time,0,28
Step time,1,22
Step time,2,23
