Type,Index,Time(ms)
Load time,0,4872
Step time,0,23
Step time,1,17
Step time,2,20
Step time,3,19
Step time,4,17
Step time,5,17
Step time,6,18
Step time,7,17
Step time,8,18
Step time,9,17
Step time,10,18
Step time,11,19
Step time,12,19
Step time,13,17
Step time,14,19
Step time,15,18
Step time,16,19
Step time,17,17
Step time,18,18
Step time,19,18
Step time,20,17
Step time,21,19
Step time,22,17
Step time,23,18
Step time,24,17
Step time,25,19
Step time,26,17
Step time,27,17
Step time,28,19
Step time,29,18
Step time,30,19
Step time,31,16
Step time,32,18
Step time,33,17
Step time,34,19
Step time,35,18
Step time,36,17
Step time,37,18
Step time,38,17
Step time,39,19
Step time,40,19
Step time,41,18
Step time,42,18
Step time,43,18
Step time,44,17
Step time,45,18
Step time,46,20
Step time,47,18
Step time,48,17
Step time,49,18
Load time,1,117
Step time,0,16
Step time,1,39
Step time,2,17
Step time,3,16
Step time,4,18
Step time,5,17
Step time,6,17
Step time,7,17
Step time,8,18
Step time,9,40
Step time,10,17
Step time,11,17
Step time,12,17
Step time,13,18
Step time,14,17
Step time,15,18
Step time,16,16
Step time,17,18
Step time,18,16
Step time,19,41
Step time,20,16
Step time,21,17
Step time,22,17
Step time,23,17
Step time,24,16
Step time,25,16
Step time,26,17
Step time,27,16
Step time,28,16
Step time,29,42
Step time,30,16
Step time,31,17
Step time,32,16
Step time,33,16
Step time,34,17
Step time,35,15
Step time,36,17
Step time,37,16
Step time,38,16
Step time,39,40
Step time,40,17
Step time,41,16
Step time,42,16
Step time,43,16
Step time,44,16
Step time,45,16
Step time,46,16
Step time,47,15
Step time,48,16
Step time,49,39
Load time,2,10429
Step time,0,14
Step time,1,16
Step time,2,12
Step time,3,13
Step time,4,13
Step time,5,13
Step time,6,13
Step time,7,15
Step time,8,16
Step time,9,15
Step time,10,15
Step time,11,14
Step time,12,18
Step time,13,14
Step time,14,14
Step time,15,14
Step time,16,14
Step time,17,18
Step time,18,14
Step time,19,15
Step time,20,16
Step time,21,14
Step time,22,14
Step time,23,14
Step time,24,14
Step time,25,15
Step time,26,15
Step time,27,14
Step time,28,15
Step time,29,15
Step time,30,15
Step time,31,16
Step time,32,16
Step time,33,17
Step time,34,19
Step time,35,16
Step time,36,13
Step time,37,13
Step time,38,16
Step time,39,13
Step time,40,16
Step time,41,16
Step time,42,14
Step time,43,13
Step time,44,14
Step time,45,15
Step time,46,13
Step time,47,14
Step time,48,15
Step time,49,14
Load time,3,7864
Step time,0,20
Step time,1,41
Step time,2,19
Step time,3,18
Step time,4,18
Step time,5,18
Step time,6,19
Step time,7,18
Step time,8,18
Step time,9,19
Step time,10,19
Step time,11,43
Step time,12,18
Step time,13,19
Step time,14,18
Step time,15,19
Step time,16,19
Step time,17,19
Step time,18,19
Step time,19,18
Step time,20,19
Step time,21,41
Step time,22,19
Step time,23,17
Step time,24,20
Step time,25,18
Step time,26,18
Step time,27,17
Step time,28,18
Step time,29,17
Step time,30,20
Step time,31,43
Step time,32,18
Step time,33,20
Step time,34,18
Step time,35,17
Step time,36,19
Step time,37,18
Step time,38,18
Step time,39,17
Step time,40,19
Step time,41,40
Step time,42,17
Step time,43,18
Step time,44,17
Step time,45,18
Step time,46,18
Step time,47,17
Step time,48,18
Step time,49,18
Load time,4,8984
Step time,0,20
Step time,1,24
Step time,2,20
Step time,3,20
Step time,4,23
Step time,5,22
Step time,6,19
Step time,7,20
Step time,8,20
Step time,9,20
Step time,10,22
Step time,11,21
Step time,12,20
Step time,13,21
Step time,14,20
Step time,15,19
Step time,16,22
Step time,17,20
Step time,18,22
Step time,19,22
Step time,20,21
Step time,21,20
Step time,22,21
Step time,23,20
Step time,24,20
Step time,25,20
Step time,26,23
Step time,27,24
Step time,28,19
Step time,29,19
Step time,30,20
Step time,31,19
Step time,32,21
Step time,33,21
Step time,34,19
Step time,35,19
Step time,36,20
Step time,37,20
Step time,38,20
Step time,39,22
Step time,40,20
Step time,41,20
Step time,42,19
Step time,43,21
Step time,44,21
Step time,45,20
Step time,46,21
Step time,47,21
Step time,48,19
Step time,49,19
Load time,5,129
Step time,0,20
Step time,1,20
Step time,2,51
Step time,3,21
Step time,4,23
Step time,5,19
Step time,6,20
Step time,7,22
Step time,8,19
Step time,9,22
Step time,10,19
Step time,11,20
Step time,12,55
Step time,13,20
Step time,14,22
Step time,15,20
Step time,16,20
Step time,17,20
Step time,18,21
Step time,19,20
Step time,20,23
Step time,21,24
Step time,22,51
Step time,23,20
Step time,24,20
Step time,25,20
Step time,26,20
Step time,27,23
Step time,28,20
Step time,29,20
Step time,30,20
Step time,31,19
Step time,32,52
Step time,33,22
Step time,34,20
Step time,35,20
Step time,36,19
Step time,37,21
Step time,38,23
Step time,39,19
Step time,40,20
Step time,41,19
Step time,42,54
Step time,43,22
Step time,44,20
Step time,45,19
Step time,46,21
Step time,47,19
Step time,48,21
Step time,49,26
Load time,6,9052
Step time,0,17
Step time,1,16
Step time,2,17
Step time,3,19
Step time,4,18
Step time,5,17
Step time,6,19
Step time,7,17
Step time,8,18
Step time,9,18
Step time,10,20
Step time,11,18
Step time,12,18
Step time,13,19
Step time,14,17
Step time,15,19
Step time,16,19
Step time,17,16
Step time,18,17
Step time,19,18
Step time,20,17
Step time,21,18
Step time,22,17
Step time,23,19
Step time,24,17
Step time,25,19
Step time,26,17
Step time,27,17
Step time,28,17
Step time,29,18
Step time,30,19
Step time,31,18
Step time,32,17
Step time,33,17
Step time,34,18
Step time,35,17
Step time,36,17
Step time,37,18
Step time,38,17
Step time,39,19
Step time,40,48
Step time,41,19
Step time,42,17
Step time,43,17
Step time,44,21
Step time,45,19
Step time,46,17
Step time,47,17
Step time,48,18
Step time,49,20
Load time,7,8582
Step time,0,16
Step time,1,16
Step time,2,18
Step time,3,17
Step time,4,17
Step time,5,18
Step time,6,17
Step time,7,18
Step time,8,19
Step time,9,17
Step time,10,19
Step time,11,18
Step time,12,17
Step time,13,18
Step time,14,17
Step time,15,17
Step time,16,19
Step time,17,18
Step time,18,17
Step time,19,17
Step time,20,19
Step time,21,17
Step time,22,18
Step time,23,16
Step time,24,17
Step time,25,17
Step time,26,17
Step time,27,17
Step time,28,17
Step time,29,18
Step time,30,17
Step time,31,17
Step time,32,16
Step time,33,18
Step time,34,17
Step time,35,17
Step time,36,17
Step time,37,17
Step time,38,18
Step time,39,17
Step time,40,18
Step time,41,17
Step time,42,16
Step time,43,17
Step time,44,16
Step time,45,16
Step time,46,17
Step time,47,16
Step time,48,18
Step time,49,18
Load time,8,4277
Step time,0,14
Step time,1,15
Step time,2,14
Step time,3,14
Step time,4,14
Step time,5,15
Step time,6,14
Step time,7,14
Step time,8,15
Step time,9,15
Step time,10,14
Step time,11,14
Step time,12,14
Step time,13,14
Step time,14,16
Step time,15,14
Step time,16,14
Step time,17,15
Step time,18,14
Step time,19,14
Step time,20,15
Step time,21,14
Step time,22,13
Step time,23,14
Step time,24,13
Step time,25,13
Step time,26,16
Step time,27,13
Step time,28,14
Step time,29,14
Step time,30,13
Step time,31,13
Step time,32,14
Step time,33,13
Step time,34,13
Step time,35,13
Step time,36,13
Step time,37,14
Step time,38,12
Step time,39,14
Step time,40,13
Step time,41,13
Step time,42,13
Step time,43,13
Step time,44,13
Step time,45,13
Step time,46,13
Step time,47,13
Step time,48,14
Step time,49,14
Load time,9,3362
Step time,0,18
Step time,1,18
Step time,2,18
Step time,3,19
Step time,4,19
Step time,5,18
Step time,6,19
Step time,7,18
Step time,8,18
Step time,9,20
Step time,10,18
Step time,11,19
Step time,12,19
Step time,13,18
Step time,14,19
Step time,15,17
Step time,16,18
Step time,17,17
Step time,18,17
Step time,19,19
Step time,20,18
Step time,21,18
Step time,22,19
Step time,23,20
Step time,24,17
Step time,25,18
Step time,26,18
Step time,27,18
Step time,28,18
Step time,29,18
Step time,30,19
Step time,31,22
Step time,32,21
Step time,33,21
Step time,34,17
Step time,35,20
Step time,36,19
Step time,37,18
Step time,38,18
Step time,39,21
Step time,40,21
Step time,41,18
Step time,42,18
Step time,43,18
Step time,44,18
Step time,45,19
Step time,46,18
Step time,47,18
Step time,48,18
Step time,49,18
Load time,10,9594
Step time,0,16
Step time,1,39
Step time,2,20
Step time,3,18
Step time,4,18
Step time,5,18
Step time,6,18
Step time,7,20
Step time,8,20
Step time,9,17
Step time,10,18
Step time,11,42
Step time,12,18
Step time,13,18
Step time,14,18
Step time,15,18
Step time,16,18
Step time,17,19
Step time,18,17
Step time,19,19
Step time,20,18
Step time,21,38
Step time,22,17
Step time,23,17
Step time,24,19
Step time,25,19
Step time,26,17
Step time,27,18
Step time,28,17
Step time,29,18
Step time,30,18
Step time,31,38
Step time,32,18
Step time,33,20
Step time,34,17
Step time,35,18
Step time,36,17
Step time,37,18
Step time,38,17
Step time,39,20
Step time,40,17
Step time,41,42
Step time,42,18
Step time,43,18
Step time,44,18
Step time,45,17
Step time,46,18
Step time,47,17
Step time,48,20
Step time,49,17
Load time,11,9442
Step time,0,14
Step time,1,13
Step time,2,14
Step time,3,15
Step time,4,14
Step time,5,15
Step time,6,16
Step time,7,14
Step time,8,14
Step time,9,16
Step time,10,15
Step time,11,14
Step time,12,14
Step time,13,14
Step time,14,15
Step time,15,15
Step time,16,14
Step time,17,14
Step time,18,14
Step time,19,14
Step time,20,14
Step time,21,13
Step time,22,14
Step time,23,15
Step time,24,14
Step time,25,14
Step time,26,13
Step time,27,13
Step time,28,13
Step time,29,14
Step time,30,14
Step time,31,13
Step time,32,13
Step time,33,13
Step time,34,13
Step time,35,13
Step time,36,12
Step time,37,13
Step time,38,13
Step time,39,12
Step time,40,14
Step time,41,13
Step time,42,13
Step time,43,13
Step time,44,12
Step time,45,13
Step time,46,13
Step time,47,12
Step time,48,13
Step time,49,13
Load time,12,11328
Step time,0,22
Step time,1,52
Step time,2,23
Step time,3,25
Step time,4,22
Step time,5,24
Step time,6,22
Step time,7,26
Step time,8,23
Step time,9,24
Step time,10,22
Step time,11,55
Step time,12,23
Step time,13,23
Step time,14,24
Step time,15,23
Step time,16,22
Step time,17,22
Step time,18,22
Step time,19,23
Step time,20,22
Step time,21,56
Step time,22,24
Step time,23,24
Step time,24,22
Step time,25,21
Step time,26,21
Step time,27,23
Step time,28,21
Step time,29,22
Step time,30,22
Step time,31,57
Step time,32,23
Step time,33,22
Step time,34,22
Step time,35,25
Step time,36,22
Step time,37,23
Step time,38,22
Step time,39,27
Step time,40,22
Step time,41,56
Step time,42,24
Step time,43,22
Step time,44,23
Step time,45,23
Step time,46,22
Step time,47,21
Step time,48,22
Step time,49,23
Load time,13,7438
Step time,0,20
Step time,1,20
Step time,2,22
Step time,3,20
Step time,4,21
Step time,5,20
Step time,6,20
Step time,7,21
Step time,8,21
Step time,9,20
Step time,10,22
Step time,11,21
Step time,12,20
Step time,13,20
Step time,14,19
Step time,15,19
Step time,16,22
Step time,17,20
Step time,18,20
Step time,19,21
Step time,20,20
Step time,21,20
Step time,22,19
Step time,23,20
Step time,24,19
Step time,25,21
Step time,26,19
Step time,27,19
Step time,28,19
Step time,29,21
Step time,30,20
Step time,31,21
Step time,32,19
Step time,33,19
Step time,34,19
Step time,35,19
Step time,36,19
Step time,37,19
Step time,38,20
Step time,39,19
Step time,40,19
Step time,41,20
Step time,42,19
Step time,43,20
Step time,44,19
Step time,45,22
Step time,46,19
Step time,47,19
Step time,48,20
Step time,49,20
Load time,14,12359
Step time,0,16
Step time,1,38
Step time,2,17
Step time,3,18
Step time,4,18
Step time,5,18
Step time,6,17
Step time,7,18
Step time,8,17
Step time,9,18
Step time,10,17
Step time,11,35
Step time,12,17
Step time,13,21
Step time,14,17
Step time,15,17
Step time,16,16
Step time,17,20
Step time,18,17
Step time,19,17
Step time,20,20
Step time,21,39
Step time,22,17
Step time,23,17
Step time,24,19
Step time,25,17
Step time,26,17
Step time,27,16
Step time,28,16
Step time,29,18
Step time,30,16
Step time,31,40
Step time,32,17
Step time,33,16
Step time,34,18
Step time,35,16
Step time,36,17
Step time,37,19
Step time,38,17
Step time,39,19
Step time,40,18
Step time,41,39
Step time,42,17
Step time,43,18
Step time,44,17
Step time,45,17
Step time,46,16
Step time,47,17
Step time,48,19
Step time,49,17
Load time,15,9625
Step time,0,19
Step time,1,17
Step time,2,19
Step time,3,18
Step time,4,16
Step time,5,17
Step time,6,17
Step time,7,17
Step time,8,19
Step time,9,17
Step time,10,19
Step time,11,17
Step time,12,18
Step time,13,17
Step time,14,18
Step time,15,17
Step time,16,18
Step time,17,18
Step time,18,17
Step time,19,17
Step time,20,18
Step time,21,17
Step time,22,18
Step time,23,18
Step time,24,17
Step time,25,17
Step time,26,17
Step time,27,17
Step time,28,16
Step time,29,19
Step time,30,17
Step time,31,18
Step time,32,18
Step time,33,17
Step time,34,17
Step time,35,17
Step time,36,18
