Type,Index,Time(ms)
Load time,0,119
Step time,0,29
Step time,1,23
Step time,2,26
Step time,3,25
Step time,4,24
Step time,5,23
Step time,6,23
Step time,7,24
Step time,8,23
Step time,9,23
Step time,10,24
Step time,11,23
Step time,12,26
Step time,13,22
Step time,14,26
Step time,15,22
Step time,16,24
Step time,17,24
Step time,18,22
Step time,19,23
Step time,20,23
Step time,21,25
Step time,22,22
Step time,23,24
Step time,24,23
Step time,25,23
Step time,26,22
Step time,27,24
Step time,28,22
Step time,29,23
Step time,30,23
Step time,31,24
Step time,32,23
Step time,33,24
Step time,34,24
Step time,35,23
Step time,36,22
Step time,37,23
Step time,38,22
Step time,39,24
Step time,40,24
Step time,41,22
Step time,42,24
Step time,43,23
Step time,44,22
Step time,45,25
Step time,46,26
Step time,47,22
Step time,48,23
Step time,49,23
Load time,1,99
Step time,0,21
Step time,1,22
Step time,2,22
Step time,3,22
Step time,4,23
Step time,5,22
Step time,6,23
Step time,7,23
Step time,8,23
Step time,9,23
Step time,10,21
Step time,11,22
Step time,12,21
Step time,13,23
Step time,14,22
Step time,15,24
Step time,16,22
Step time,17,22
Step time,18,23
Step time,19,22
Step time,20,22
Step time,21,22
Step time,22,22
Step time,23,22
Step time,24,22
Step time,25,22
Step time,26,21
Step time,27,21
Step time,28,22
Step time,29,22
Step time,30,22
Step time,31,21
Step time,32,22
Step time,33,22
Step time,34,22
Step time,35,22
Step time,36,23
Step time,37,22
Step time,38,22
Step time,39,21
Step time,40,24
Step time,41,22
Step time,42,21
Step time,43,23
Step time,44,22
Step time,45,21
Step time,46,22
Step time,47,21
Step time,48,22
Step time,49,21
Load time,2,135
Step time,0,23
Step time,1,24
Step time,2,21
Step time,3,22
Step time,4,23
Step time,5,22
Step time,6,22
Step time,7,24
Step time,8,25
Step time,9,22
Step time,10,24
Step time,11,23
Step time,12,26
Step time,13,23
Step time,14,22
Step time,15,23
Step time,16,22
Step time,17,27
Step time,18,22
Step time,19,25
Step time,20,24
Step time,21,23
Step time,22,23
Step time,23,24
Step time,24,22
Step time,25,23
Step time,26,24
Step time,27,23
Step time,28,24
Step time,29,22
Step time,30,24
Step time,31,22
Step time,32,51
Step time,33,26
Step time,34,24
Step time,35,24
Step time,36,23
Step time,37,23
Step time,38,31
Step time,39,24
Step time,40,43
Step time,41,27
Step time,42,23
Step time,43,24
Step time,44,23
Step time,45,24
Step time,46,24
Step time,47,22
Step time,48,25
Step time,49,23
Load time,3,268
Step time,0,27
Step time,1,23
Step time,2,24
Step time,3,22
Step time,4,21
Step time,5,22
Step time,6,29
Step time,7,24
Step time,8,22
Step time,9,24
Step time,10,31
Step time,11,25
Step time,12,22
Step time,13,33
Step time,14,34
Step time,15,26
Step time,16,25
Step time,17,26
Step time,18,23
Step time,19,24
Step time,20,29
Step time,21,25
Step time,22,25
Step time,23,22
Step time,24,27
Step time,25,29
Step time,26,24
Step time,27,22
Step time,28,24
Step time,29,24
Step time,30,30
Step time,31,25
Step time,32,25
Step time,33,36
