Type,Index,Time(ms)
Load time,0,2879
Step time,0,27
Step time,1,21
Step time,2,23
Step time,3,23
Step time,4,20
Step time,5,21
Step time,6,21
Step time,7,20
Step time,8,22
Step time,9,20
Step time,10,23
Step time,11,21
Step time,12,24
Step time,13,22
Step time,14,23
Step time,15,22
Step time,16,22
Step time,17,21
Step time,18,21
Step time,19,21
Step time,20,21
Step time,21,22
Step time,22,20
Step time,23,21
Step time,24,20
Step time,25,22
Step time,26,21
Step time,27,20
Step time,28,21
Step time,29,22
Step time,30,21
Step time,31,20
Step time,32,20
Step time,33,20
Step time,34,23
Step time,35,20
Step time,36,20
Step time,37,21
Step time,38,20
Step time,39,23
Step time,40,23
Step time,41,21
Step time,42,21
Step time,43,20
Step time,44,20
Step time,45,21
Step time,46,24
Step time,47,22
Step time,48,22
Step time,49,21
Load time,1,146
Step time,0,21
Step time,1,50
Step time,2,21
Step time,3,20
Step time,4,22
Step time,5,20
Step time,6,20
Step time,7,20
Step time,8,21
Step time,9,20
Step time,10,20
Step time,11,54
Step time,12,22
Step time,13,20
Step time,14,21
Step time,15,21
Step time,16,20
Step time,17,20
Step time,18,20
Step time,19,20
Step time,20,19
Step time,21,53
Step time,22,20
Step time,23,21
Step time,24,19
Step time,25,19
Step time,26,20
Step time,27,20
Step time,28,19
Step time,29,20
Step time,30,19
Step time,31,49
Step time,32,20
Step time,33,20
Step time,34,20
Step time,35,19
Step time,36,19
Step time,37,20
Step time,38,20
Step time,39,19
Step time,40,20
Step time,41,51
Step time,42,20
Step time,43,19
Step time,44,19
Step time,45,19
Step time,46,19
Step time,47,19
Step time,48,20
Step time,49,19
Load time,2,12029
Step time,0,17
Step time,1,17
Step time,2,16
Step time,3,16
Step time,4,16
Step time,5,17
Step time,6,16
Step time,7,18
Step time,8,19
Step time,9,16
Step time,10,19
Step time,11,16
Step time,12,22
Step time,13,16
Step time,14,17
Step time,15,17
Step time,16,17
Step time,17,20
Step time,18,17
Step time,19,18
Step time,20,19
Step time,21,18
Step time,22,18
Step time,23,16
Step time,24,17
Step time,25,17
Step time,26,17
Step time,27,17
Step time,28,18
Step time,29,17
Step time,30,17
Step time,31,16
Step time,32,19
Step time,33,19
Step time,34,18
Step time,35,18
Step time,36,17
Step time,37,17
Step time,38,48
Step time,39,18
Step time,40,18
Step time,41,18
Step time,42,18
Step time,43,17
Step time,44,17
Step time,45,18
Step time,46,16
Step time,47,16
Step time,48,18
Step time,49,17
Load time,3,7435
Step time,0,23
Step time,1,20
Step time,2,48
Step time,3,21
Step time,4,20
Step time,5,20
Step time,6,23
Step time,7,21
Step time,8,20
Step time,9,21
Step time,10,23
Step time,11,23
Step time,12,51
Step time,13,21
Step time,14,21
Step time,15,21
Step time,16,22
Step time,17,22
Step time,18,21
Step time,19,21
Step time,20,21
Step time,21,21
Step time,22,51
Step time,23,20
Step time,24,23
Step time,25,22
Step time,26,20
Step time,27,21
Step time,28,20
Step time,29,20
Step time,30,23
Step time,31,22
Step time,32,50
Step time,33,24
Step time,34,23
Step time,35,20
Step time,36,22
Step time,37,20
Step time,38,21
Step time,39,20
Step time,40,22
Step time,41,21
Step time,42,51
Step time,43,21
Step time,44,20
Step time,45,21
Step time,46,20
Step time,47,20
Step time,48,22
Step time,49,20
Load time,4,5918
Step time,0,21
Step time,1,25
