Type,Index,Time(ms)
Load time,0,5318
Step time,0,21
Step time,1,16
Step time,2,18
Step time,3,17
Step time,4,16
Step time,5,16
Step time,6,16
Step time,7,16
Step time,8,15
Step time,9,16
Step time,10,18
Step time,11,16
Step time,12,19
Step time,13,15
Step time,14,18
Step time,15,16
Step time,16,17
Step time,17,16
Step time,18,16
Step time,19,16
Step time,20,16
Step time,21,17
Step time,22,15
Step time,23,16
Step time,24,15
Step time,25,16
Step time,26,16
Step time,27,16
Step time,28,16
Step time,29,16
Step time,30,16
Step time,31,16
Step time,32,15
Step time,33,16
Step time,34,17
Step time,35,15
Step time,36,16
Step time,37,15
Step time,38,16
Step time,39,16
Step time,40,18
Step time,41,16
Step time,42,16
Step time,43,16
Step time,44,15
Step time,45,17
Step time,46,18
Step time,47,15
Step time,48,17
Step time,49,15
Load time,1,103
Step time,0,34
Step time,1,16
Step time,2,16
Step time,3,15
Step time,4,16
Step time,5,15
Step time,6,36
Step time,7,17
Step time,8,15
Step time,9,15
Step time,10,16
Step time,11,15
Step time,12,15
Step time,13,15
Step time,14,15
Step time,15,16
Step time,16,36
Step time,17,15
Step time,18,15
Step time,19,15
Step time,20,15
Step time,21,15
Step time,22,15
Step time,23,14
Step time,24,15
Step time,25,15
Step time,26,34
Step time,27,14
Step time,28,15
Step time,29,15
Step time,30,14
Step time,31,15
Step time,32,15
Step time,33,16
Step time,34,14
Step time,35,15
Step time,36,35
Step time,37,15
Step time,38,14
Step time,39,15
Step time,40,14
Step time,41,15
Step time,42,14
Step time,43,15
Step time,44,14
Step time,45,14
Step time,46,34
Step time,47,15
Step time,48,14
Step time,49,14
Load time,2,8913
Step time,0,14
Step time,1,12
Step time,2,12
Step time,3,12
Step time,4,12
Step time,5,14
Step time,6,12
Step time,7,14
Step time,8,14
Step time,9,12
Step time,10,14
Step time,11,12
Step time,12,17
Step time,13,13
Step time,14,13
Step time,15,12
Step time,16,13
Step time,17,16
Step time,18,14
Step time,19,15
Step time,20,14
Step time,21,14
Step time,22,13
Step time,23,13
Step time,24,12
Step time,25,13
Step time,26,14
Step time,27,12
Step time,28,14
Step time,29,13
Step time,30,13
Step time,31,11
Step time,32,14
Step time,33,14
Step time,34,14
Step time,35,14
Step time,36,15
Step time,37,12
Step time,38,15
Step time,39,12
Step time,40,15
Step time,41,14
Step time,42,12
Step time,43,13
Step time,44,12
Step time,45,13
Step time,46,12
Step time,47,13
Step time,48,13
Step time,49,13
Load time,3,7895
Step time,0,19
Step time,1,37
Step time,2,18
Step time,3,16
Step time,4,16
Step time,5,17
Step time,6,18
Step time,7,17
Step time,8,17
Step time,9,18
Step time,10,19
Step time,11,39
Step time,12,16
Step time,13,18
Step time,14,17
Step time,15,18
Step time,16,18
Step time,17,19
Step time,18,17
Step time,19,17
Step time,20,18
Step time,21,39
Step time,22,19
Step time,23,17
Step time,24,18
Step time,25,17
Step time,26,18
Step time,27,17
Step time,28,16
Step time,29,17
Step time,30,20
Step time,31,41
Step time,32,17
Step time,33,18
Step time,34,19
Step time,35,16
Step time,36,18
Step time,37,18
Step time,38,17
Step time,39,17
Step time,40,18
Step time,41,40
Step time,42,16
Step time,43,17
Step time,44,16
Step time,45,17
Step time,46,17
Step time,47,16
Step time,48,18
Step time,49,16
Load time,4,9409
Step time,0,18
Step time,1,22
Step time,2,17
Step time,3,20
Step time,4,20
Step time,5,21
Step time,6,18
Step time,7,17
Step time,8,19
