Type,Index,Time(ms)
Load time,0,3669
Step time,0,24
Step time,1,20
Step time,2,21
Step time,3,20
Step time,4,21
Step time,5,20
Step time,6,19
Step time,7,19
Step time,8,19
Step time,9,19
Step time,10,21
Step time,11,19
Step time,12,22
Step time,13,19
Step time,14,21
Step time,15,19
Step time,16,20
Step time,17,20
Step time,18,19
Step time,19,19
Step time,20,19
Step time,21,20
Step time,22,19
Step time,23,18
Step time,24,21
Step time,25,19
Step time,26,19
Step time,27,18
Step time,28,21
Step time,29,19
Step time,30,20
Step time,31,20
Step time,32,19
Step time,33,18
Step time,34,21
Step time,35,19
Step time,36,18
Step time,37,19
Step time,38,20
Step time,39,21
Step time,40,20
Step time,41,20
Step time,42,19
Step time,43,19
Step time,44,18
Step time,45,20
Step time,46,21
Step time,47,20
Step time,48,18
Step time,49,17
Load time,1,126
Step time,0,18
Step time,1,48
Step time,2,19
Step time,3,18
Step time,4,19
Step time,5,19
Step time,6,18
Step time,7,18
Step time,8,19
Step time,9,19
Step time,10,42
Step time,11,20
Step time,12,18
Step time,13,18
Step time,14,18
Step time,15,20
Step time,16,18
Step time,17,18
Step time,18,18
Step time,19,19
Step time,20,44
Step time,21,19
Step time,22,18
Step time,23,18
Step time,24,18
Step time,25,18
Step time,26,17
Step time,27,19
Step time,28,17
Step time,29,18
Step time,30,46
Step time,31,19
Step time,32,18
Step time,33,18
Step time,34,19
Step time,35,17
Step time,36,19
Step time,37,17
Step time,38,19
Step time,39,17
Step time,40,45
Step time,41,18
Step time,42,17
Step time,43,18
Step time,44,18
Step time,45,18
Step time,46,17
Step time,47,18
Step time,48,18
Step time,49,17
Load time,2,11263
Step time,0,16
Step time,1,16
Step time,2,14
Step time,3,15
Step time,4,15
Step time,5,21
Step time,6,15
Step time,7,18
Step time,8,17
Step time,9,15
Step time,10,18
Step time,11,15
Step time,12,20
Step time,13,16
Step time,14,16
Step time,15,16
Step time,16,16
Step time,17,20
Step time,18,16
Step time,19,16
Step time,20,17
Step time,21,17
Step time,22,15
Step time,23,16
Step time,24,15
Step time,25,16
Step time,26,17
Step time,27,15
Step time,28,18
Step time,29,15
Step time,30,16
Step time,31,15
Step time,32,17
Step time,33,17
Step time,34,18
Step time,35,18
Step time,36,15
Step time,37,16
Step time,38,19
Step time,39,16
Step time,40,18
Step time,41,17
Step time,42,18
Step time,43,15
Step time,44,16
Step time,45,17
Step time,46,16
Step time,47,15
Step time,48,16
Step time,49,15
Load time,3,7820
Step time,0,21
Step time,1,40
Step time,2,20
Step time,3,19
Step time,4,18
Step time,5,18
Step time,6,21
Step time,7,18
Step time,8,18
Step time,9,20
Step time,10,20
Step time,11,45
Step time,12,18
Step time,13,19
Step time,14,19
Step time,15,20
Step time,16,21
Step time,17,20
Step time,18,20
Step time,19,18
Step time,20,19
Step time,21,42
Step time,22,20
Step time,23,18
Step time,24,21
Step time,25,19
Step time,26,19
Step time,27,18
Step time,28,19
Step time,29,18
Step time,30,20
Step time,31,45
Step time,32,18
Step time,33,21
Step time,34,20
Step time,35,18
Step time,36,20
Step time,37,19
Step time,38,18
Step time,39,18
Step time,40,20
Step time,41,44
Step time,42,19
Step time,43,18
Step time,44,18
Step time,45,19
Step time,46,19
Step time,47,18
Step time,48,20
Step time,49,18
Load time,4,7265
Step time,0,20
Step time,1,24
Step time,2,21
Step time,3,21
Step time,4,23
Step time,5,23
Step time,6,20
Step time,7,22
Step time,8,21
Step time,9,21
Step time,10,23
Step time,11,22
Step time,12,21
Step time,13,22
Step time,14,21
Step time,15,21
Step time,16,24
Step time,17,20
Step time,18,23
Step time,19,23
Step time,20,23
Step time,21,20
Step time,22,22
Step time,23,20
Step time,24,21
Step time,25,21
Step time,26,23
Step time,27,25
Step time,28,20
Step time,29,20
Step time,30,22
Step time,31,20
Step time,32,20
Step time,33,22
Step time,34,20
Step time,35,21
Step time,36,20
Step time,37,21
Step time,38,20
Step time,39,22
Step time,40,21
Step time,41,21
Step time,42,20
Step time,43,20
Step time,44,22
Step time,45,20
Step time,46,22
Step time,47,22
Step time,48,20
Step time,49,20
Load time,5,139
Step time,0,21
Step time,1,20
Step time,2,56
Step time,3,21
Step time,4,24
Step time,5,21
Step time,6,20
Step time,7,23
Step time,8,21
Step time,9,21
Step time,10,21
Step time,11,21
Step time,12,57
Step time,13,21
Step time,14,22
Step time,15,21
Step time,16,21
Step time,17,22
Step time,18,21
Step time,19,21
Step time,20,23
Step time,21,24
Step time,22,56
Step time,23,22
Step time,24,21
Step time,25,20
Step time,26,22
Step time,27,23
Step time,28,21
Step time,29,20
Step time,30,21
Step time,31,20
Step time,32,51
Step time,33,23
Step time,34,21
Step time,35,21
Step time,36,20
Step time,37,22
Step time,38,24
Step time,39,21
Step time,40,20
Step time,41,21
Step time,42,55
Step time,43,22
Step time,44,21
Step time,45,21
Step time,46,21
Step time,47,21
Step time,48,21
Step time,49,27
Load time,6,7701
Step time,0,19
Step time,1,19
Step time,2,18
Step time,3,21
Step time,4,20
Step time,5,18
Step time,6,19
Step time,7,20
Step time,8,20
Step time,9,20
Step time,10,22
Step time,11,19
Step time,12,20
Step time,13,19
Step time,14,19
Step time,15,19
Step time,16,19
Step time,17,21
Step time,18,19
Step time,19,19
Step time,20,20
Step time,21,18
Step time,22,19
Step time,23,21
Step time,24,18
Step time,25,19
Step time,26,19
Step time,27,18
Step time,28,19
Step time,29,19
Step time,30,21
Step time,31,19
Step time,32,20
Step time,33,20
Step time,34,19
Step time,35,18
Step time,36,20
Step time,37,19
Step time,38,19
Step time,39,20
Step time,40,21
Step time,41,19
Step time,42,19
Step time,43,19
Step time,44,21
Step time,45,22
Step time,46,18
Step time,47,19
Step time,48,20
Step time,49,21
Load time,7,8075
Step time,0,18
Step time,1,19
Step time,2,21
Step time,3,18
Step time,4,20
Step time,5,21
Step time,6,19
Step time,7,20
Step time,8,21
Step time,9,19
Step time,10,20
Step time,11,18
Step time,12,19
Step time,13,19
Step time,14,20
Step time,15,18
Step time,16,21
Step time,17,20
Step time,18,19
Step time,19,19
Step time,20,21
Step time,21,18
Step time,22,18
Step time,23,18
Step time,24,18
Step time,25,19
Step time,26,19
Step time,27,18
Step time,28,19
Step time,29,19
Step time,30,21
Step time,31,19
Step time,32,19
Step time,33,18
Step time,34,20
Step time,35,18
Step time,36,18
Step time,37,19
Step time,38,19
Step time,39,19
Step time,40,19
Step time,41,20
Step time,42,18
Step time,43,18
Step time,44,18
Step time,45,18
Step time,46,18
Step time,47,18
Step time,48,19
Step time,49,21
Load time,8,4344
Step time,0,15
Step time,1,18
Step time,2,15
Step time,3,16
Step time,4,16
Step time,5,17
Step time,6,15
Step time,7,17
Step time,8,16
Step time,9,17
Step time,10,15
Step time,11,17
Step time,12,16
Step time,13,15
Step time,14,17
Step time,15,17
Step time,16,17
Step time,17,16
Step time,18,15
Step time,19,16
Step time,20,16
Step time,21,15
Step time,22,15
Step time,23,16
Step time,24,15
Step time,25,16
Step time,26,17
Step time,27,16
Step time,28,15
Step time,29,16
Step time,30,15
Step time,31,15
Step time,32,15
Step time,33,15
Step time,34,14
Step time,35,16
Step time,36,14
Step time,37,15
Step time,38,15
Step time,39,16
Step time,40,14
Step time,41,15
Step time,42,15
Step time,43,16
Step time,44,15
Step time,45,15
Step time,46,15
Step time,47,15
Step time,48,15
Step time,49,16
Load time,9,2532
Step time,0,19
Step time,1,18
Step time,2,19
Step time,3,21
Step time,4,19
Step time,5,21
Step time,6,19
Step time,7,19
Step time,8,19
Step time,9,21
Step time,10,19
Step time,11,20
Step time,12,20
Step time,13,19
Step time,14,19
Step time,15,19
Step time,16,20
Step time,17,20
Step time,18,19
Step time,19,19
Step time,20,21
Step time,21,19
Step time,22,19
Step time,23,20
Step time,24,18
Step time,25,19
Step time,26,19
Step time,27,19
Step time,28,19
Step time,29,18
Step time,30,20
Step time,31,19
Step time,32,19
Step time,33,19
Step time,34,19
Step time,35,18
Step time,36,20
Step time,37,19
Step time,38,19
Step time,39,19
Step time,40,19
Step time,41,19
Step time,42,19
Step time,43,19
Step time,44,19
Step time,45,18
Step time,46,21
Step time,47,22
Step time,48,22
Step time,49,22
Load time,10,8876
Step time,0,39
Step time,1,23
Step time,2,21
Step time,3,19
Step time,4,20
Step time,5,20
Step time,6,20
Step time,7,23
Step time,8,21
Step time,9,20
Step time,10,46
Step time,11,20
Step time,12,20
Step time,13,20
Step time,14,20
Step time,15,20
Step time,16,20
Step time,17,20
Step time,18,20
Step time,19,21
Step time,20,48
Step time,21,20
Step time,22,20
Step time,23,20
Step time,24,22
Step time,25,21
Step time,26,19
Step time,27,20
Step time,28,20
Step time,29,20
Step time,30,47
Step time,31,20
Step time,32,20
Step time,33,23
Step time,34,19
Step time,35,19
Step time,36,20
Step time,37,19
Step time,38,20
Step time,39,22
Step time,40,44
Step time,41,20
Step time,42,20
Step time,43,20
Step time,44,20
Step time,45,19
Step time,46,21
Step time,47,19
Step time,48,21
Step time,49,20
Load time,11,10262
Step time,0,16
Step time,1,15
Step time,2,16
Step time,3,16
Step time,4,15
Step time,5,15
Step time,6,16
Step time,7,16
Step time,8,15
Step time,9,18
Step time,10,15
Step time,11,16
Step time,12,15
Step time,13,15
Step time,14,17
Step time,15,15
Step time,16,14
Step time,17,15
Step time,18,15
Step time,19,16
Step time,20,15
Step time,21,15
Step time,22,15
Step time,23,15
Step time,24,14
Step time,25,14
Step time,26,15
Step time,27,14
Step time,28,15
Step time,29,14
Step time,30,15
Step time,31,13
Step time,32,15
Step time,33,13
Step time,34,14
Step time,35,14
Step time,36,14
Step time,37,14
Step time,38,13
Step time,39,15
Step time,40,14
Step time,41,14
Step time,42,14
Step time,43,14
Step time,44,14
Step time,45,13
Step time,46,14
Step time,47,14
Step time,48,14
Step time,49,14
Load time,12,10840
Step time,0,26
Step time,1,25
Step time,2,23
Step time,3,28
Step time,4,25
Step time,5,26
Step time,6,24
Step time,7,28
Step time,8,24
Step time,9,26
Step time,10,25
Step time,11,25
Step time,12,24
Step time,13,26
Step time,14,27
Step time,15,25
Step time,16,24
Step time,17,24
Step time,18,24
Step time,19,25
Step time,20,25
Step time,21,25
Step time,22,27
Step time,23,26
Step time,24,24
Step time,25,25
Step time,26,24
Step time,27,23
Step time,28,24
Step time,29,25
Step time,30,26
Step time,31,23
Step time,32,24
Step time,33,24
Step time,34,24
Step time,35,26
Step time,36,23
Step time,37,23
Step time,38,24
Step time,39,28
Step time,40,25
Step time,41,24
Step time,42,24
Step time,43,24
Step time,44,24
Step time,45,24
Step time,46,25
Step time,47,23
Step time,48,25
Step time,49,24
Load time,13,149
Step time,0,26
Step time,1,23
Step time,2,61
Step time,3,25
Step time,4,24
Step time,5,24
Step time,6,23
Step time,7,23
Step time,8,24
Step time,9,25
Step time,10,25
Step time,11,26
Step time,12,63
Step time,13,24
Step time,14,23
Step time,15,24
Step time,16,25
Step time,17,23
Step time,18,24
Step time,19,25
Step time,20,24
Step time,21,23
Step time,22,58
Step time,23,24
Step time,24,24
Step time,25,24
Step time,26,23
Step time,27,23
Step time,28,24
Step time,29,25
Step time,30,23
Step time,31,23
Step time,32,60
Step time,33,24
Step time,34,23
Step time,35,23
Step time,36,23
Step time,37,23
Step time,38,25
Step time,39,23
Step time,40,24
Step time,41,24
Step time,42,58
Step time,43,25
Step time,44,23
Step time,45,26
Step time,46,22
Step time,47,23
Step time,48,24
Step time,49,25
Load time,14,15976
Step time,0,19
Step time,1,18
Step time,2,18
Step time,3,20
Step time,4,19
Step time,5,19
Step time,6,18
Step time,7,18
Step time,8,18
Step time,9,19
Step time,10,19
Step time,11,18
Step time,12,19
Step time,13,20
Step time,14,21
Step time,15,18
Step time,16,18
Step time,17,22
Step time,18,18
Step time,19,19
Step time,20,42
Step time,21,19
Step time,22,18
Step time,23,18
Step time,24,19
Step time,25,18
Step time,26,18
Step time,27,18
Step time,28,18
Step time,29,19
Step time,30,41
Step time,31,18
Step time,32,18
Step time,33,19
Step time,34,18
Step time,35,19
Step time,36,18
Step time,37,19
Step time,38,19
Step time,39,20
