Type,Index,Time(ms)
Load time,0,105
Step time,0,28
Step time,1,23
Step time,2,24
Step time,3,26
Step time,4,23
Step time,5,23
Step time,6,23
Step time,7,23
Step time,8,23
Step time,9,22
Step time,10,25
Step time,11,23
Step time,12,25
Step time,13,23
Step time,14,26
Step time,15,22
Step time,16,24
Step time,17,23
Step time,18,23
Step time,19,23
Step time,20,23
Step time,21,25
Step time,22,24
Step time,23,23
Step time,24,24
Step time,25,23
Step time,26,22
Step time,27,23
Step time,28,23
Step time,29,23
Step time,30,22
Step time,31,24
Step time,32,23
Step time,33,23
Step time,34,25
Step time,35,24
Step time,36,22
Step time,37,23
Step time,38,22
Step time,39,24
Step time,40,24
Step time,41,24
Step time,42,23
Step time,43,23
Step time,44,23
Step time,45,24
Step time,46,25
Step time,47,23
Step time,48,22
Step time,49,22
Load time,1,178
Step time,0,23
Step time,1,22
Step time,2,23
Step time,3,58
Step time,4,22
Step time,5,23
Step time,6,22
Step time,7,21
Step time,8,23
Step time,9,22
Step time,10,22
Step time,11,21
Step time,12,23
Step time,13,62
Step time,14,23
Step time,15,24
Step time,16,22
Step time,17,21
Step time,18,22
Step time,19,22
Step time,20,22
Step time,21,22
Step time,22,22
Step time,23,59
Step time,24,23
Step time,25,21
Step time,26,22
Step time,27,22
Step time,28,22
Step time,29,22
Step time,30,22
Step time,31,21
Step time,32,22
Step time,33,58
Step time,34,23
Step time,35,22
Step time,36,22
Step time,37,21
Step time,38,22
Step time,39,22
Step time,40,21
Step time,41,22
Step time,42,22
Step time,43,57
Step time,44,22
Step time,45,23
Step time,46,22
Step time,47,21
Step time,48,22
Step time,49,21
Load time,2,3685
Step time,0,22
Step time,1,22
Step time,2,21
Step time,3,20
Step time,4,22
Step time,5,22
Step time,6,20
Step time,7,25
Step time,8,23
Step time,9,22
Step time,10,24
Step time,11,21
Step time,12,26
Step time,13,23
Step time,14,21
Step time,15,22
Step time,16,22
Step time,17,27
Step time,18,22
Step time,19,23
Step time,20,24
Step time,21,22
Step time,22,21
Step time,23,22
Step time,24,21
Step time,25,22
Step time,26,23
Step time,27,22
Step time,28,23
Step time,29,21
Step time,30,22
Step time,31,21
Step time,32,23
Step time,33,23
Step time,34,24
Step time,35,24
Step time,36,21
Step time,37,21
Step time,38,26
Step time,39,22
Step time,40,26
Step time,41,23
Step time,42,21
Step time,43,22
Step time,44,21
Step time,45,23
Step time,46,21
Step time,47,21
Step time,48,21
Step time,49,22
Load time,3,1348
Step time,0,28
Step time,1,23
Step time,2,26
Step time,3,22
Step time,4,23
Step time,5,22
Step time,6,28
Step time,7,25
Step time,8,24
Step time,9,26
Step time,10,25
Step time,11,26
Step time,12,22
Step time,13,25
Step time,14,24
Step time,15,24
Step time,16,24
Step time,17,27
Step time,18,23
Step time,19,23
Step time,20,25
Step time,21,23
Step time,22,24
Step time,23,23
Step time,24,24
Step time,25,25
Step time,26,24
Step time,27,23
Step time,28,24
Step time,29,23
Step time,30,26
Step time,31,24
Step time,32,23
Step time,33,28
Step time,34,24
Step time,35,22
Step time,36,24
Step time,37,24
Step time,38,22
Step time,39,24
Step time,40,26
Step time,41,22
Step time,42,22
Step time,43,25
Step time,44,23
Step time,45,22
Step time,46,23
Step time,47,23
Step time,48,25
Step time,49,22
Load time,4,101
Step time,0,21
Step time,1,32
Step time,2,24
Step time,3,24
Step time,4,34
Step time,5,24
Step time,6,21
Step time,7,21
Step time,8,23
Step time,9,21
Step time,10,25
Step time,11,24
Step time,12,23
Step time,13,26
Step time,14,23
Step time,15,25
Step time,16,44
Step time,17,20
Step time,18,25
Step time,19,26
Step time,20,23
Step time,21,23
Step time,22,24
Step time,23,22
Step time,24,22
Step time,25,21
Step time,26,26
Step time,27,25
Step time,28,21
Step time,29,21
Step time,30,22
