Type,Index,Time(ms)
Load time,0,1076
Step time,0,30
Step time,1,24
Step time,2,25
Step time,3,25
Step time,4,25
Step time,5,22
Step time,6,24
Step time,7,24
Step time,8,23
Step time,9,22
Step time,10,26
Step time,11,23
Step time,12,26
Step time,13,24
Step time,14,25
Step time,15,23
Step time,16,25
Step time,17,24
Step time,18,23
Step time,19,23
Step time,20,23
Step time,21,25
Step time,22,23
Step time,23,23
Step time,24,23
Step time,25,23
Step time,26,23
Step time,27,23
Step time,28,23
Step time,29,23
Step time,30,22
Step time,31,24
Step time,32,23
Step time,33,23
Step time,34,25
Step time,35,22
Step time,36,23
Step time,37,25
Step time,38,22
Step time,39,25
Step time,40,25
Step time,41,22
Step time,42,25
Step time,43,24
Step time,44,23
Step time,45,24
Step time,46,26
Step time,47,23
Step time,48,23
Step time,49,24
Load time,1,165
Step time,0,23
Step time,1,21
Step time,2,56
Step time,3,23
Step time,4,22
Step time,5,23
Step time,6,22
Step time,7,23
Step time,8,23
Step time,9,22
Step time,10,22
Step time,11,22
Step time,12,61
Step time,13,23
Step time,14,22
Step time,15,24
Step time,16,22
Step time,17,23
Step time,18,22
Step time,19,22
Step time,20,22
Step time,21,22
Step time,22,57
Step time,23,22
Step time,24,22
Step time,25,22
Step time,26,22
Step time,27,22
Step time,28,22
Step time,29,22
Step time,30,21
Step time,31,22
Step time,32,58
Step time,33,23
Step time,34,21
Step time,35,22
Step time,36,21
Step time,37,22
Step time,38,21
Step time,39,22
Step time,40,21
Step time,41,22
Step time,42,55
Step time,43,22
Step time,44,21
Step time,45,21
Step time,46,21
Step time,47,22
Step time,48,22
Step time,49,22
Load time,2,10997
Step time,0,18
Step time,1,20
Step time,2,18
Step time,3,17
Step time,4,18
Step time,5,20
Step time,6,19
Step time,7,21
Step time,8,21
Step time,9,19
Step time,10,21
Step time,11,19
Step time,12,23
Step time,13,19
Step time,14,18
Step time,15,19
Step time,16,19
Step time,17,23
Step time,18,20
Step time,19,20
Step time,20,20
Step time,21,20
Step time,22,19
Step time,23,18
Step time,24,19
Step time,25,19
Step time,26,20
Step time,27,19
Step time,28,21
Step time,29,19
Step time,30,18
Step time,31,18
Step time,32,20
Step time,33,20
Step time,34,20
Step time,35,21
Step time,36,18
Step time,37,18
Step time,38,23
Step time,39,18
Step time,40,22
Step time,41,20
Step time,42,18
Step time,43,19
Step time,44,20
Step time,45,21
Step time,46,19
Step time,47,19
Step time,48,19
Step time,49,19
Load time,3,4604
Step time,0,27
Step time,1,24
Step time,2,24
Step time,3,25
Step time,4,24
Step time,5,24
Step time,6,25
Step time,7,24
Step time,8,23
Step time,9,25
Step time,10,26
Step time,11,25
Step time,12,23
Step time,13,24
Step time,14,24
Step time,15,24
Step time,16,26
Step time,17,27
Step time,18,23
Step time,19,24
Step time,20,25
Step time,21,23
Step time,22,25
Step time,23,23
Step time,24,25
Step time,25,24
Step time,26,24
Step time,27,23
Step time,28,23
Step time,29,23
Step time,30,27
Step time,31,25
Step time,32,23
Step time,33,25
Step time,34,24
Step time,35,23
Step time,36,25
Step time,37,24
Step time,38,23
Step time,39,23
Step time,40,26
Step time,41,24
Step time,42,22
Step time,43,24
Step time,44,23
Step time,45,23
Step time,46,23
Step time,47,23
Step time,48,25
Step time,49,23
Load time,4,94
Step time,0,22
Step time,1,25
Step time,2,23
Step time,3,22
Step time,4,25
