Type,Index,Time(ms)
Load time,0,5096
Step time,0,20
Step time,1,15
Step time,2,15
Step time,3,16
Step time,4,14
Step time,5,14
Step time,6,15
Step time,7,16
Step time,8,14
Step time,9,14
Step time,10,16
Step time,11,15
Step time,12,17
Step time,13,16
Step time,14,16
Step time,15,15
Step time,16,16
Step time,17,15
Step time,18,15
Step time,19,15
Step time,20,14
Step time,21,17
Step time,22,14
Step time,23,15
Step time,24,14
Step time,25,15
Step time,26,14
Step time,27,15
Step time,28,14
Step time,29,14
Step time,30,15
Step time,31,15
Step time,32,15
Step time,33,14
Step time,34,15
Step time,35,14
Step time,36,15
Step time,37,14
Step time,38,14
Step time,39,16
Step time,40,16
Step time,41,14
Step time,42,17
Step time,43,14
Step time,44,14
Step time,45,15
Step time,46,17
Step time,47,14
Step time,48,14
Step time,49,15
Load time,1,87
Step time,0,30
Step time,1,14
Step time,2,14
Step time,3,14
Step time,4,14
Step time,5,33
Step time,6,14
Step time,7,14
Step time,8,14
Step time,9,14
Step time,10,14
Step time,11,14
Step time,12,14
Step time,13,14
Step time,14,29
Step time,15,16
Step time,16,13
Step time,17,14
Step time,18,14
Step time,19,13
Step time,20,14
Step time,21,14
Step time,22,14
Step time,23,14
Step time,24,30
Step time,25,14
Step time,26,13
Step time,27,13
Step time,28,14
Step time,29,13
Step time,30,13
Step time,31,14
Step time,32,13
Step time,33,14
Step time,34,30
Step time,35,13
Step time,36,13
Step time,37,14
Step time,38,14
Step time,39,13
Step time,40,13
Step time,41,13
Step time,42,13
Step time,43,13
Step time,44,30
Step time,45,13
Step time,46,14
Step time,47,13
Step time,48,13
Step time,49,13
Load time,2,6649
Step time,0,12
Step time,1,11
Step time,2,11
Step time,3,10
Step time,4,10
Step time,5,11
Step time,6,11
Step time,7,12
Step time,8,13
Step time,9,11
Step time,10,13
Step time,11,11
Step time,12,15
Step time,13,11
Step time,14,12
Step time,15,12
Step time,16,11
Step time,17,15
Step time,18,11
Step time,19,12
Step time,20,12
Step time,21,12
Step time,22,11
Step time,23,11
Step time,24,11
Step time,25,12
Step time,26,12
Step time,27,11
Step time,28,13
Step time,29,11
Step time,30,11
Step time,31,10
Step time,32,12
Step time,33,12
Step time,34,12
Step time,35,12
Step time,36,12
Step time,37,11
Step time,38,15
Step time,39,11
Step time,40,12
Step time,41,14
Step time,42,10
Step time,43,11
Step time,44,11
Step time,45,12
Step time,46,11
Step time,47,11
Step time,48,11
Step time,49,11
Load time,3,7454
Step time,0,39
Step time,1,16
Step time,2,16
Step time,3,16
Step time,4,15
Step time,5,15
Step time,6,18
Step time,7,16
Step time,8,15
Step time,9,17
Step time,10,35
Step time,11,18
Step time,12,16
Step time,13,17
Step time,14,17
Step time,15,17
Step time,16,17
Step time,17,18
Step time,18,17
Step time,19,16
Step time,20,40
Step time,21,15
Step time,22,18
Step time,23,15
Step time,24,17
Step time,25,18
Step time,26,16
Step time,27,16
Step time,28,16
Step time,29,17
Step time,30,36
Step time,31,17
Step time,32,16
Step time,33,17
Step time,34,17
Step time,35,15
Step time,36,18
Step time,37,16
Step time,38,15
Step time,39,17
Step time,40,36
Step time,41,16
Step time,42,15
Step time,43,15
Step time,44,15
Step time,45,17
Step time,46,16
Step time,47,15
Step time,48,18
Step time,49,15
Load time,4,8603
Step time,0,18
Step time,1,18
Step time,2,14
Step time,3,16
Step time,4,17
Step time,5,17
Step time,6,15
Step time,7,16
Step time,8,15
Step time,9,15
Step time,10,16
Step time,11,16
Step time,12,15
Step time,13,16
Step time,14,16
Step time,15,15
Step time,16,17
Step time,17,14
Step time,18,16
Step time,19,18
Step time,20,16
Step time,21,16
Step time,22,15
Step time,23,16
Step time,24,14
Step time,25,15
Step time,26,17
Step time,27,18
Step time,28,15
Step time,29,14
Step time,30,16
Step time,31,14
Step time,32,15
Step time,33,16
Step time,34,15
Step time,35,14
Step time,36,15
Step time,37,14
Step time,38,15
Step time,39,17
Step time,40,15
Step time,41,15
Step time,42,15
Step time,43,15
Step time,44,16
Step time,45,15
Step time,46,16
Step time,47,16
Step time,48,15
Step time,49,15
Load time,5,2622
Step time,0,16
Step time,1,15
Step time,2,15
Step time,3,16
Step time,4,16
Step time,5,15
Step time,6,15
Step time,7,18
Step time,8,15
Step time,9,15
Step time,10,15
Step time,11,15
Step time,12,15
Step time,13,16
Step time,14,16
Step time,15,17
Step time,16,15
Step time,17,15
Step time,18,16
Step time,19,15
Step time,20,17
Step time,21,18
Step time,22,15
Step time,23,16
Step time,24,15
Step time,25,15
Step time,26,15
Step time,27,17
Step time,28,15
Step time,29,15
Step time,30,16
Step time,31,15
Step time,32,16
Step time,33,16
Step time,34,15
Step time,35,15
Step time,36,15
Step time,37,15
Step time,38,17
Step time,39,15
Step time,40,15
Step time,41,15
Step time,42,16
Step time,43,15
Step time,44,15
Step time,45,15
Step time,46,15
Step time,47,15
Step time,48,16
Step time,49,20
Load time,6,7640
Step time,0,12
Step time,1,12
Step time,2,12
Step time,3,15
Step time,4,15
Step time,5,12
Step time,6,13
Step time,7,13
Step time,8,14
Step time,9,13
Step time,10,15
Step time,11,13
Step time,12,13
Step time,13,13
Step time,14,13
Step time,15,13
Step time,16,13
Step time,17,13
Step time,18,12
Step time,19,13
Step time,20,12
Step time,21,12
Step time,22,13
Step time,23,14
Step time,24,12
Step time,25,13
Step time,26,13
Step time,27,12
Step time,28,13
Step time,29,13
Step time,30,14
Step time,31,13
Step time,32,13
Step time,33,13
Step time,34,12
Step time,35,13
Step time,36,14
Step time,37,12
Step time,38,14
Step time,39,13
Step time,40,14
Step time,41,12
Step time,42,13
Step time,43,13
Step time,44,14
Step time,45,14
Step time,46,13
Step time,47,13
Step time,48,13
Step time,49,15
Load time,7,6569
Step time,0,13
Step time,1,13
Step time,2,15
Step time,3,14
Step time,4,15
Step time,5,14
Step time,6,15
Step time,7,14
Step time,8,16
Step time,9,14
Step time,10,15
Step time,11,14
Step time,12,14
Step time,13,16
Step time,14,14
Step time,15,14
Step time,16,17
Step time,17,14
Step time,18,14
Step time,19,14
Step time,20,17
Step time,21,13
Step time,22,14
Step time,23,13
Step time,24,14
Step time,25,15
Step time,26,13
Step time,27,14
Step time,28,14
Step time,29,15
Step time,30,15
Step time,31,13
Step time,32,14
Step time,33,13
Step time,34,16
Step time,35,13
Step time,36,13
Step time,37,15
Step time,38,15
Step time,39,14
Step time,40,14
Step time,41,16
Step time,42,14
Step time,43,14
Step time,44,13
Step time,45,14
Step time,46,14
Step time,47,14
Step time,48,14
Step time,49,15
Load time,8,3888
Step time,0,11
Step time,1,11
Step time,2,11
Step time,3,11
Step time,4,11
Step time,5,12
Step time,6,11
Step time,7,11
Step time,8,11
Step time,9,11
Step time,10,12
Step time,11,11
Step time,12,11
Step time,13,13
Step time,14,13
Step time,15,11
Step time,16,12
Step time,17,11
Step time,18,11
Step time,19,12
Step time,20,11
Step time,21,11
Step time,22,10
Step time,23,11
Step time,24,10
Step time,25,11
Step time,26,12
Step time,27,11
Step time,28,10
Step time,29,11
Step time,30,54
Step time,31,10
Step time,32,10
Step time,33,10
Step time,34,11
Step time,35,25
Step time,36,11
Step time,37,10
Step time,38,10
Step time,39,11
Step time,40,10
Step time,41,10
Step time,42,11
Step time,43,10
Step time,44,11
Step time,45,10
Step time,46,10
Step time,47,10
Step time,48,11
Step time,49,10
Load time,9,2727
Step time,0,14
Step time,1,13
Step time,2,15
Step time,3,15
Step time,4,15
Step time,5,14
Step time,6,15
Step time,7,14
Step time,8,16
Step time,9,14
Step time,10,14
Step time,11,16
Step time,12,16
Step time,13,14
Step time,14,14
Step time,15,14
Step time,16,14
Step time,17,14
Step time,18,14
Step time,19,14
Step time,20,15
Step time,21,14
Step time,22,14
Step time,23,15
Step time,24,15
Step time,25,14
Step time,26,14
Step time,27,14
Step time,28,15
Step time,29,14
Step time,30,15
Step time,31,14
Step time,32,14
Step time,33,14
Step time,34,14
Step time,35,13
Step time,36,15
Step time,37,14
Step time,38,14
Step time,39,14
Step time,40,15
Step time,41,14
Step time,42,15
Step time,43,13
Step time,44,14
Step time,45,14
Step time,46,14
Step time,47,13
Step time,48,14
Step time,49,14
Load time,10,8125
Step time,0,29
Step time,1,17
Step time,2,17
Step time,3,15
Step time,4,15
Step time,5,15
Step time,6,16
Step time,7,17
Step time,8,17
Step time,9,15
Step time,10,33
Step time,11,16
Step time,12,16
Step time,13,15
Step time,14,15
Step time,15,15
Step time,16,15
Step time,17,15
Step time,18,16
Step time,19,16
Step time,20,31
Step time,21,15
Step time,22,15
Step time,23,14
Step time,24,16
Step time,25,16
Step time,26,16
Step time,27,15
Step time,28,15
Step time,29,16
Step time,30,31
Step time,31,16
Step time,32,15
Step time,33,17
Step time,34,14
Step time,35,15
Step time,36,15
Step time,37,16
Step time,38,15
Step time,39,17
Step time,40,30
Step time,41,15
Step time,42,16
Step time,43,15
Step time,44,15
Step time,45,15
Step time,46,16
Step time,47,15
Step time,48,17
Step time,49,15
Load time,11,7289
Step time,0,11
Step time,1,10
Step time,2,11
Step time,3,10
Step time,4,10
Step time,5,12
Step time,6,11
Step time,7,11
Step time,8,11
Step time,9,13
Step time,10,10
Step time,11,10
Step time,12,11
Step time,13,11
